SR. NO.,DISTRICT,NAME OF PANCHAYAT SAMITI,NAME OF GRAM PANCHAYAT,WARD CATEGORY,NAME OF ELECTED SARP ANCH,WINNING CANDIDAES CATEGORY
3170,CHITTORGARH,BHOP ALSAGAR,BHOP ALSAGAR,SC (Woman),RENA,SC (Woman)
3171,CHITTORGARH,BHOP ALSAGAR,BOOL,ST,BHERU LAL,ST
3172,CHITTORGARH,BHOP ALSAGAR,CHORWADI,General (Woman),LAXMI DEVI,General (Woman)
3173,CHITTORGARH,BHOP ALSAGAR,FALASIYA,General (Woman),MOSSUM,OBC (Woman)
3174,CHITTORGARH,BHOP ALSAGAR,GUNDALI,General (Woman),PUSHPA KANWAR BHATI,General (Woman)
3175,CHITTORGARH,BHOP ALSAGAR,JASHMA,General (Woman),RAJDEVI,General (Woman)
3176,CHITTORGARH,BHOP ALSAGAR,KANADKHEDA,SC,SHAMBHU LAL,SC
3177,CHITTORGARH,BHOP ALSAGAR,KANAKHEDA,General (Woman),KAILASH DEVI,OBC (Woman)
3178,CHITTORGARH,BHOP ALSAGAR,KANKARW A,General,NIRANJAN SINGH,General
3179,CHITTORGARH,BHOP ALSAGAR,MURL A,General,CHANDMAL,OBC
3180,CHITTORGARH,BHOP ALSAGAR,NILOD,OBC,HEMRAJ GAADRI,OBC
3181,CHITTORGARH,BHOP ALSAGAR,PARI,OBC,DESHRAJ GUJAR,OBC
3182,CHITTORGARH,BHOP ALSAGAR,PATOLIYA,OBC (Woman),CHETANA SUTHAR,OBC (Woman)
3183,CHITTORGARH,BHOP ALSAGAR,TANA,ST (Woman),JASHODA,ST (Woman)
3184,CHITTORGARH,BHOP ALSAGAR,USROL,General (Woman),VISHNU,General (Woman)
3185,CHITTORGARH,CHITTORGARH,ABHA YPUR,General,RAJENDRA SINGH,General
3186,CHITTORGARH,CHITTORGARH,AMARPURA,SC (Woman),MOHANI BAI,SC (Woman)
3187,CHITTORGARH,CHITTORGARH,ARNIYAPANTH,ST (Woman),PARMILA MEENA,ST (Woman)
3188,CHITTORGARH,CHITTORGARH,AWANLHEDA,SC (Woman),MANJU JATIYA,SC (Woman)
3189,CHITTORGARH,CHITTORGARH,BADODIYA,SC,GANESH BALAI,SC
3190,CHITTORGARH,CHITTORGARH,BASSI,General (Woman),ANJU KANWAR,General (Woman)
3191,CHITTORGARH,CHITTORGARH,BIJAYPUR,General (Woman),UKTI KANWAR,General (Woman)
3192,CHITTORGARH,CHITTORGARH,CHIKSI,OBC,GANAESH,OBC
3193,CHITTORGARH,CHITTORGARH,DEVRI,SC,RAJENDRA DHOLI,SC
3194,CHITTORGARH,CHITTORGARH,DHANETKALAN,General (Woman),DEVENDRA KANWAR,General (Woman)
3195,CHITTORGARH,CHITTORGARH,ERAL,General,MITTHU SINGH,General
3196,CHITTORGARH,CHITTORGARH,GHATIYAWALI,General,AJAY SINGH,General
3197,CHITTORGARH,CHITTORGARH,GHOSUNDA,General (Woman),VERSHA SHARMA,General (Woman)
3198,CHITTORGARH,CHITTORGARH,GILUND,OBC,HEMRAJ BHOI,OBC
3199,CHITTORGARH,CHITTORGARH,GOSHUNDI,General (Woman),UTTRA DASHORA,General (Woman)
3200,CHITTORGARH,CHITTORGARH,JALAMPURA,General,KANHAIYA LAL,OBC
3201,CHITTORGARH,CHITTORGARH,KASHMOR,SC (Woman),SUGNA,SC (Woman)
3202,CHITTORGARH,CHITTORGARH,KELJAR,General (Woman),KAILASH KANWAR,General (Woman)
3203,CHITTORGARH,CHITTORGARH,NAGRI,ST,DALCHAND BHIL,ST
3204,CHITTORGARH,CHITTORGARH,NARELA,General (Woman),ARUNA KANWAR,General (Woman)
3205,CHITTORGARH,CHITTORGARH,NETAWAL MAHARAJ,ST,PRABHU LAL BHEEL,ST
3206,CHITTORGARH,CHITTORGARH,NETAWALGARH PACHALI,OBC,RAMESHWAR LAL DAKHAR,OBC
3207,CHITTORGARH,CHITTORGARH,OCHDI,General,DIGVIJAY SINGH,General
3208,CHITTORGARH,CHITTORGARH,ODUND,SC,UDAI LAL SALVI,SC
3209,CHITTORGARH,CHITTORGARH,PAL,ST,PREM LAL,ST
3210,CHITTORGARH,CHITTORGARH,P ALKA,General,KISHAN LAL DAKHAR,OBC
3211,CHITTORGARH,CHITTORGARH,PANDOLI MATAJI,ST (Woman),DIMPAL MEENA,ST (Woman)
3212,CHITTORGARH,CHITTORGARH,ROLAHEDA,General,GIRDHAR SINGH,General
3213,CHITTORGARH,CHITTORGARH,SAHNAWA,General (Woman),REWTA,OBC (Woman)
3214,CHITTORGARH,CHITTORGARH,SAMRI,OBC (Woman),SAWATRI GURJAR,OBC (Woman)
3215,CHITTORGARH,CHITTORGARH,SATPURA,General,SURENDRA SINGH,General
3216,CHITTORGARH,CHITTORGARH,SAWA,OBC (Woman),ANITA MALI,OBC (Woman)
3217,CHITTORGARH,CHITTORGARH,SEMALIYA,General (Woman),PARBHU KUMARI,OBC (Woman)
3218,CHITTORGARH,CHITTORGARH,SEMALPURA,OBC,SATYNARAYAN,OBC
3219,CHITTORGARH,CHITTORGARH,SHADI,OBC (Woman),SEEMA,OBC (Woman)
3220,CHITTORGARH,CHITTORGARH,SHAMBHUPURA,General (Woman),CHANDA JAT,OBC (Woman)
3221,CHITTORGARH,CHITTORGARH,SONGAR,General,RATAN BHANWAR CHUNDAWAT,General
3222,CHITTORGARH,CHITTORGARH,TUMBADIYA,General (Woman),ROSHAN AHIR,General (Woman)
3223,CHITTORGARH,CHITTORGARH,UDAPURA,SC,KALLA SALVI,SC
3224,CHITTORGARH,DOONGL A,AALOD,General,VIJAY SINGH,General
3225,CHITTORGARH,DOONGL A,ARNED,General (Woman),CHANDA BAI JANWA,OBC (Woman)
3226,CHITTORGARH,DOONGL A,BADWAI,OBC (Woman),MANGI DEVI,OBC (Woman)
3227,CHITTORGARH,DOONGL A,BHATOLI BAGARIYAN,ST (Woman),RUKAMAN,ST (Woman)
3228,CHITTORGARH,DOONGL A,BHATOLI GUJARAN,OBC,KISHAN LAL,OBC
3229,CHITTORGARH,DOONGL A,BILODA,General (Woman),PARMILA SHARMA,General (Woman)
3230,CHITTORGARH,DOONGL A,BILOT,General (Woman),REENA,General (Woman)
3231,CHITTORGARH,DOONGL A,CHIKARDA,OBC (Woman),KRISHANA SONI,OBC (Woman)
3232,CHITTORGARH,DOONGL A,DELWAS,SC,GOTAM JATIYA,SC
3233,CHITTORGARH,DOONGL A,DUNGALA,General,ASHOK KUMAR,General
3234,CHITTORGARH,DOONGL A,FALODARA,General,BADARILAL SHARMA,General
3235,CHITTORGARH,DOONGL A,IEDRA,General (Woman),VEENA SHARMA,General (Woman)
3236,CHITTORGARH,DOONGL A,KARSANA,General,SAROJ KUNWAR,General (Woman)
3237,CHITTORGARH,DOONGL A,KISHANKARERI,ST,MADAN LAL MINA,ST
3238,CHITTORGARH,DOONGL A,LOTHIYANA,SC (Woman),LALITA JATIYA,SC (Woman)
3239,CHITTORGARH,DOONGL A,MANGALWAD,General (Woman),SHIMLA DEVI,General (Woman)
3240,CHITTORGARH,DOONGL A,MORWAN,ST,NATHU SINGH MINA,ST
3241,CHITTORGARH,DOONGL A,NADAKHEDA,General,SHANKAR LAL,OBC
3242,CHITTORGARH,DOONGL A,NANGW ALI,OBC,BAGADIRAM KULMI,OBC
3243,CHITTORGARH,DOONGL A,NEGADIYA,General (Woman),BHARTI VASHNAV,OBC (Woman)
3244,CHITTORGARH,DOONGL A,NOGAWA,ST (Woman),LALI BAI,ST(Woman)
3245,CHITTORGARH,DOONGL A,P ALOD,SC (Woman),MANJU,SC (Woman)
3246,CHITTORGARH,DOONGL A,PIRANA,OBC,AMBALAL PATIDAR,OBC
3247,CHITTORGARH,DOONGL A,RAWATPURA,General (Woman),NARBADA DEVI,ST
3248,CHITTORGARH,DOONGL A,SANGESARA,General,ASHA DEVI,General (Woman)
3249,CHITTORGARH,DOONGL A,SEMLIYA,SC,DURGA SHANKAR BHAMBI,SC
3250,CHITTORGARH,GANGRAR,BOLON KA SANWATA,OBC (Woman),P ARAS,OBC (Woman)
3251,CHITTORGARH,GANGRAR,BORDA,OBC,PAPPU LAL GURJAR,OBC
3252,CHITTORGARH,GANGRAR,BUDH,General (Woman),DEV KANYA AHIR,OBC (Woman)
3253,CHITTORGARH,GANGRAR,CHOGAWADI,General,RAVINDRA SINGH,General
3254,CHITTORGARH,GANGRAR,GANGRAR,General,KAYUM,OBC
3255,CHITTORGARH,GANGRAR,JOJRON KI KHEDA,SC,SUKHRAJ SALVI,SC
3256,CHITTORGARH,GANGRAR,KANTI,General,GAJRAJ SINGH,General
3257,CHITTORGARH,GANGRAR,KHARKHANDA,ST,DALLI CHAND,ST
3258,CHITTORGARH,GANGRAR,KUNWALIYA,General,KAILASH CHANDRA TELI,OBC
3259,CHITTORGARH,GANGRAR,LALAS,General,NARAYAN LAL JAT,OBC
3260,CHITTORGARH,GANGRAR,MANDPIYA,General,ASHOK JAIN,General
3261,CHITTORGARH,GANGRAR,OJOLIYAON KA KHEDA,SC (Woman),SANTOSH SALVI,SC (Woman)
3262,CHITTORGARH,GANGRAR,PUTHOLI,OBC (Woman),KOMAL VAISHNAV,OBC (Woman)
3263,CHITTORGARH,GANGRAR,RUGHNA THPURA,ST (Woman),NIRMA MEENA,ST
3264,CHITTORGARH,GANGRAR,SADAS,OBC,SANJAY KUMAR VAISHNAV,OBC
3265,CHITTORGARH,GANGRAR,SHADI,General (Woman),CHANCHAL KANWAR,General (Woman)
3266,CHITTORGARH,GANGRAR,SONIYANA,General (Woman),SHALINI DEVI,OBC (Woman)
3267,CHITTORGARH,GANGRAR,SUDRI,General (Woman),ANOP JAT,OBC (Woman)
3268,CHITTORGARH,GANGRAR,SUVANIYA,SC (Woman),SEEMA,SC (Woman)
3269,CHITTORGARH,GANGRAR,TUMBADIYA,SC,RAJMAL BALAI,SC
3270,CHITTORGARH,GANGRAR,UNDW A,General (Woman),DIVYA KANWAR,General (Woman)
3271,CHITTORGARH,KAP ASAN,BALARDA,General,NARAYAN LAL,OBC
3272,CHITTORGARH,KAP ASAN,BAMNIYA,OBC (Woman),MANJU DEVI,OBC (Woman)
3273,CHITTORGARH,KAP ASAN,BANAKIYA KALAN,OBC,NARAYAN LAL AAHEER,OBC
3274,CHITTORGARH,KAP ASAN,CHAKUDA,General (Woman),KESAR DEVI,OBC (Woman)
3275,CHITTORGARH,KAP ASAN,CHHAP ARI,OBC,MUKESH KUMAR,OBC
3276,CHITTORGARH,KAP ASAN,DAMAKHERA,SC,SOPHAN LAL,SC
3277,CHITTORGARH,KAP ASAN,DHAMANA,General,KALU RAM,OBC
3278,CHITTORGARH,KAP ASAN,DOVANI,SC (Woman),NIRMALA SAALVI,SC (Woman)
3279,CHITTORGARH,KAP ASAN,HATHIYANA,General,KALU LAL,OBC
3280,CHITTORGARH,KAP ASAN,HINGORIY A,General (Woman),KRISHNA KANWAR,General (Woman)
3281,CHITTORGARH,KAP ASAN,KARJALI,OBC (Woman),SHANTA BAI,OBC (Woman)
3282,CHITTORGARH,KAP ASAN,KARUKANDA,ST,PAPPU LAL,ST
3283,CHITTORGARH,KAP ASAN,LANGACH,OBC,BADRI LAL,OBC
3284,CHITTORGARH,KAP ASAN,MUNGANA,General (Woman),SHENLATAN MANDOWARA,General (Woman)
3285,CHITTORGARH,KAP ASAN,NIMBAHEDA,General,BALU RAM JAAT,OBC
3286,CHITTORGARH,KAP ASAN,PANDOLI MATAJI,General (Woman),KAMLA DEVI,OBC (Woman)
3287,CHITTORGARH,KAP ASAN,ROLIYA,SC,MADAN LAL,SC
3288,CHITTORGARH,KAP ASAN,RUP AKHEDI,SC (Woman),NARBEDA DEVI,SC (Woman)
3289,CHITTORGARH,KAP ASAN,SINGHPUR,General (Woman),PARWATI MALI,OBC (Woman)
3290,CHITTORGARH,KAP ASAN,SURPUR,General (Woman),SEEMA,OBC (Woman)
3291,CHITTORGARH,KAP ASAN,TURKIYA KHURD,General,BADRI LAL,OBC
3292,CHITTORGARH,KAP ASAN,UCHANARKHURD,General,KISHOR JAAT,OBC
3293,CHITTORGARH,KAP ASAN,UMAND,ST (Woman),SUNDER BHEEL,ST (Woman)
3294,CHITTORGARH,NIMBAHERA,ARNIYA JOSHI,General (Woman),SUGNA DHAKAD,OBC (Woman)
3295,CHITTORGARH,NIMBAHERA,ARNODA,ST,SURESH CHAND,ST
3296,CHITTORGARH,NIMBAHERA,BADAWALI,SC,MUMTA JATIYA,SC (Woman)
3297,CHITTORGARH,NIMBAHERA,BADI,General,BALWANT SINGH,General
