sl_no,dist_name,samiti_name,gp,reservation,name,sex,category,gp_new,dist_name_new,samiti_name_new,dist_2010
230,AJMER,PISANGAN,PAGARA,GEN W,BHILI GURJAR,FEMALE,OBC,pagara,AJMER,PEESANGAN,
231,AJMER,PISANGAN,PICHOLIA,OBC W,UGMI DEVI,FEMALE,OBC,picholiya,AJMER,PEESANGAN,
232,AJMER,PISANGAN,PISANGAN,OBC,SATYANARAYAN KUMAWAT,MALE,OBC,peesangan,AJMER,PEESANGAN,
233,AJMER,PISANGAN,RAJGARH,GEN,HARI SINGH,MALE,OBC,rajgarh,AJMER,PEESANGAN,
234,AJMER,PISANGAN,RAJOSI,GEN,REHMAT KHAN,MALE,OBC,rajosi,AJMER,PEESANGAN,
235,AJMER,PISANGAN,RAMPURADAWAT,GEN,DAVENDRA SINGH,MALE,GEN,rampura dabla,AJMER,PEESANGAN,
236,AJMER,PISANGAN,SARADHANA,SC W,REKHA DEVI,FEMALE,SC,saradhana,AJMER,PEESANGAN,
237,AJMER,PISANGAN,SOMALPUR,GEN,KALU KHAN,MALE,OBC,somalpur,AJMER,PEESANGAN,
238,AJMER,PISANGAN,TABIJI,GEN,AJIT JAIN,MALE,GEN,tabiji,AJMER,PEESANGAN,
239,AJMER,PISANGAN,TILORA,GEN W,GOPALI,FEMALE,OBC,tilora,AJMER,PEESANGAN,
240,AJMER,SHRINAGAR,AJAISAR,GEN,BHANWAR SINGH,MALE,OBC,ajaysar,AJMER,SRINAGAR,
241,AJMER,SHRINAGAR,ARADKA,OBC W,RASIDA BANO,FEMALE,OBC,aradka,AJMER,SRINAGAR,
242,AJMER,SHRINAGAR,BABAYCHA,GEN,RAJARAM,MALE,GEN,babayacha,AJMER,SRINAGAR,
243,AJMER,SHRINAGAR,BADLIYA,OBC,PANCHU SINGH,MALE,OBC,badliya,AJMER,SRINAGAR,
244,AJMER,SHRINAGAR,BHUDOL,SC W,KAMLA DEVI,FEMALE,SC,bhudol,AJMER,SRINAGAR,
245,AJMER,SHRINAGAR,BOUR,OBC,MANARAM,MALE,OBC,beer,AJMER,SRINAGAR,
246,AJMER,SHRINAGAR,BUBANI,GEN W,KISHNI,FEMALE,OBC,bubani,AJMER,SRINAGAR,
247,AJMER,SHRINAGAR,CHACHIYAWAS,OBC,SURAJ KARAN,MALE,OBC,chachiyawas,AJMER,SRINAGAR,
248,AJMER,SHRINAGAR,DATA,GEN,RAM LAL,MALE,OBC,danta,AJMER,SRINAGAR,
249,AJMER,SHRINAGAR,DHAL,SC W,PATASI,FEMALE,SC,dhal,AJMER,SRINAGAR,
250,AJMER,SHRINAGAR,DILWADA,OBC W,URMILA DEVI,FEMALE,OBC,dilwara,AJMER,SRINAGAR,
251,AJMER,SHRINAGAR,FARKIYA,GEN W,CHHOTI DEVI,FEMALE,OBC,farkiya,AJMER,SRINAGAR,
252,AJMER,SHRINAGAR,GAGWANA,SC,DAYALRAM,MALE,SC,gagwana,AJMER,SRINAGAR,
253,AJMER,SHRINAGAR,GEGAL,OBC W,CHUKA,FEMALE,OBC,gegal,AJMER,SRINAGAR,
254,AJMER,SHRINAGAR,GHODIYAWAS,GEN,RAJAK MOHAMMAD,MALE,GEN,godiyawas,AJMER,SRINAGAR,
255,AJMER,SHRINAGAR,GHUNGHARA,SC,ONKAR LAL BHAGAT,MALE,SC,ghunghara,AJMER,SRINAGAR,
256,AJMER,SHRINAGAR,HATHIKHEDA,GEN,SHANKAR SINGH,MALE,OBC,hathikheda,AJMER,SRINAGAR,
257,AJMER,SHRINAGAR,KANAKHEDI,GEN,ISMAIL BEG,MALE,GEN,kanakheri,AJMER,SRINAGAR,
258,AJMER,SHRINAGAR,KANPURA,GEN,BHAGWAN,MALE,GEN,kanpura,AJMER,SRINAGAR,
259,AJMER,SHRINAGAR,KAYAMPURA,GEN,JIWAN,MALE,OBC,kayampura,AJMER,SRINAGAR,
260,AJMER,SHRINAGAR,LAVERA,GEN W,KAMLA,FEMALE,OBC,lavera,AJMER,SRINAGAR,
261,AJMER,SHRINAGAR,LOHARWADA,GEN,RAMDHAN,MALE,OBC,loharwada,AJMER,SRINAGAR,
262,AJMER,SHRINAGAR,MAKADWALI,GEN,RAMDEV,MALE,OBC,makadwali,AJMER,SRINAGAR,
263,AJMER,SHRINAGAR,MAVISHIYA,GEN W,LILA DEVI,FEMALE,GEN,mawashiya,AJMER,SRINAGAR,
264,AJMER,SHRINAGAR,NARELI,GEN,HARCHAND,MALE,OBC,nareli,AJMER,SRINAGAR,
265,AJMER,SHRINAGAR,NARWAR,GEN,JEETMAL,MALE,OBC,narwar,AJMER,SRINAGAR,
266,AJMER,SHRINAGAR,PALRA,GEN,JULIYAS,MALE,GEN,palra,AJMER,SRINAGAR,
267,AJMER,SHRINAGAR,RAMNER DHANI,GEN,CHHITAR SINGH,MALE,GEN,ramner dhani,AJMER,SRINAGAR,
268,AJMER,SHRINAGAR,RAMSAR,GEN,SANJAI,MALE,GEN,ramsar,AJMER,SRINAGAR,
269,AJMER,SHRINAGAR,RASULPURA,ST,CHOTU,MALE,ST,rasulpura,AJMER,SRINAGAR,
270,AJMER,SHRINAGAR,SAMPRODA,GEN W,SUPYAR,FEMALE,OBC,samproda,AJMER,SRINAGAR,
271,AJMER,SHRINAGAR,SANOD,SC,SODAN,MALE,SC,sanod,AJMER,SRINAGAR,
272,AJMER,SHRINAGAR,SEDRIYA,OBC,GHANSHYAM,MALE,OBC,sedriya,AJMER,SRINAGAR,
273,AJMER,SHRINAGAR,SHRINAGAR,GEN W,SUNITA,FEMALE,OBC,shrinagar,AJMER,SRINAGAR,
274,AJMER,SHRINAGAR,TIHARI,GEN,PADAM CHAND,MALE,GEN,tihari,AJMER,SRINAGAR,
275,AJMER,SHRINAGAR,TILANA,OBC,HEMRAJ,MALE,OBC,tilana,AJMER,SRINAGAR,
276,AJMER,SHRINAGAR,URADA,GEN W,SAYARA,FEMALE,GEN,untada,AJMER,SRINAGAR,
277,ALWAR,BANSUR,AALAMPUR,OBC,CHHANGARAM GURJAR,MALE,OBC,alampura,ALWAR,BANSUR,
278,ALWAR,BANSUR,BABARIYA,SC W,BHAGOTI DEVI,FEMALE,SC,babariya,ALWAR,BANSUR,
279,ALWAR,BANSUR,BABEDI,GEN W,BANARASI DEVI,FEMALE,OBC,babedi,ALWAR,BANSUR,
280,ALWAR,BANSUR,BALAWAS,GEN,RAMSINGH YADAV,MALE,OBC,balawas,ALWAR,BANSUR,
281,ALWAR,BANSUR,BAMANBAS,OBC,DILIP SINGH YADAV,MALE,OBC,bamanwas,ALWAR,BANSUR,
282,ALWAR,BANSUR,BANSUR,GEN W,MEERA DEVI PANSARI,FEMALE,GEN,bansur,ALWAR,BANSUR,
283,ALWAR,BANSUR,BAS DAYAL,ST W,RAJBALA,FEMALE,ST,basdayal,ALWAR,BANSUR,
284,ALWAR,BANSUR,BHAGGU KA BAS,GEN,PANCHURAM,MALE,OBC,bhaggu ka bas,ALWAR,BANSUR,
285,ALWAR,BANSUR,BHUPSEDA,GEN,SUBHASH CHAND YADAV,MALE,OBC,bhupseda,ALWAR,BANSUR,
286,ALWAR,BANSUR,BILALI,GEN,OMPRAKASH SAINI,MALE,OBC,bilali,ALWAR,BANSUR,
287,ALWAR,BANSUR,BUTERI,GEN,DHRAMPAL GURJAR,MALE,OBC,bhuteri,ALWAR,BANSUR,
288,ALWAR,BANSUR,CHATARPURA,GEN,SHIVLAL JAT,MALE,OBC,chatarpura,ALWAR,BANSUR,
289,ALWAR,BANSUR,CHHIND,GEN,BANWARI LAL GURJAR,MALE,OBC,chhind,ALWAR,BANSUR,
290,ALWAR,BANSUR,CHULA,SC,MADAN LAL,MALE,SC,chula,ALWAR,BANSUR,
291,ALWAR,BANSUR,DEVSAN,OBC W,SANTI DEVI,FEMALE,OBC,devsan,ALWAR,BANSUR,
292,ALWAR,BANSUR,GIRUDI,SC,RAMESH CHAND WALMIK,MALE,SC,girudi,ALWAR,BANSUR,
293,ALWAR,BANSUR,GUNTA,GEN W,SANTOSH DEVI,FEMALE,GEN,gunta,ALWAR,BANSUR,
294,ALWAR,BANSUR,GYANPURA,GEN W,KAMLA GURJAR,FEMALE,OBC,gyanpura,ALWAR,BANSUR,
295,ALWAR,BANSUR,HAJIPUR,OBC W,RAMPYARI SWAMI,FEMALE,OBC,hajipur,ALWAR,BANSUR,
296,ALWAR,BANSUR,HAMIRPUR,OBC,GOVARDHAN SAINI,MALE,OBC,hamirpur,ALWAR,BANSUR,
297,ALWAR,BANSUR,HERSOURA,ST,GANGA RAM,MALE,ST,harsaura,ALWAR,BANSUR,
298,ALWAR,BANSUR,HOLAWAS,GEN,RAMSWAROOP JAT,MALE,OBC,holabas,ALWAR,BANSUR,
299,ALWAR,BANSUR,KHEDA,SC W,KRIPA DEVI,FEMALE,SC,kheda,ALWAR,BANSUR,
300,ALWAR,BANSUR,KHOHRI,GEN W,NARESHI DEVI YADAV,FEMALE,OBC,khohri,ALWAR,BANSUR,
301,ALWAR,BANSUR,LEKADI,GEN,BANSHI GURJAR,MALE,OBC,lakedi,ALWAR,BANSUR,
302,ALWAR,BANSUR,LOYATI,GEN,SARJIT SINGH JAT,MALE,OBC,loyati,ALWAR,BANSUR,
303,ALWAR,BANSUR,MAJRA AHEER,GEN W,KAMLA DEVI,FEMALE,OBC,majra ahir,ALWAR,BANSUR,
304,ALWAR,BANSUR,MEHANPUR,GEN,RATIRAM GURJAR,MALE,OBC,mehanpur,ALWAR,BANSUR,
305,ALWAR,BANSUR,MOUTHUKA,GEN,SONIYA JAT,MALE,OBC,mothuka,ALWAR,BANSUR,
306,ALWAR,BANSUR,NANGAL LAKHA,OBC W,BIMLA GURJAR,FEMALE,OBC,nangal lakha,ALWAR,BANSUR,
307,ALWAR,BANSUR,NAYABAS,SC,GOKUL CHAND,MALE,SC,nayabas,ALWAR,BANSUR,
308,ALWAR,BANSUR,NEEMUCHANA,OBC,SURGYANI JOGI,MALE,OBC,nimuchana,ALWAR,BANSUR,
309,ALWAR,BANSUR,RAMPUR,GEN,RAGHUVIR CHOUDHARY,MALE,OBC,rampur,ALWAR,BANSUR,
310,ALWAR,BANSUR,RANPURA URF KARANA,OBC,RAMNIWAS GURJAR,MALE,OBC,ratanpura urf karana,ALWAR,BANSUR,
311,ALWAR,BANSUR,SHAHPUR,GEN,SATYAVIR YADAV,MALE,OBC,shahpur,ALWAR,BANSUR,
312,ALWAR,BANSUR,SHYAMPURA,SC,RADHESHYAM,MALE,SC,shyampura,ALWAR,BANSUR,
313,ALWAR,BEHROR,ANANTPURA,GEN W,SAVITRI,FEMALE,OBC,anantpura,ALWAR,BEHROR,
314,ALWAR,BEHROR,BASAI,GEN,CHHATRAPAL,MALE,GEN,basai,ALWAR,BEHROR,
315,ALWAR,BEHROR,BERDOD,GEN W,NIRMALA DEVI,FEMALE,OBC,barod,ALWAR,BEHROR,
316,ALWAR,BEHROR,BHAGWADIKHURD,GEN W,MAYADEVI,FEMALE,OBC,bhagwadi khurd,ALWAR,BEHROR,
317,ALWAR,BEHROR,BOODHWAL,GEN,SHIVNARAYAN,MALE,OBC,budhwal,ALWAR,BEHROR,
318,ALWAR,BEHROR,DHUNDHARIYA,OBC W,KRISHNA DEVI,FEMALE,OBC,dhundharia,ALWAR,BEHROR,
319,ALWAR,BEHROR,GADOJ,SC,KHAJANI,FEMALE,SC,gadoj,ALWAR,BEHROR,
320,ALWAR,BEHROR,GANDALA,OBC,LALSINGH,MALE,OBC,gandala,ALWAR,BEHROR,
321,ALWAR,BEHROR,GUJARWAS,GEN W,SAVITRI,FEMALE,OBC,gujarwas,ALWAR,BEHROR,
322,ALWAR,BEHROR,GUNTI,GEN,HANUMAN,MALE,OBC,gunti,ALWAR,BEHROR,
323,ALWAR,BEHROR,HAMIDPUR,OBC,SULTAN SINGH,MALE,OBC,hamidpur,ALWAR,BEHROR,
324,ALWAR,BEHROR,JAGUWAS,GEN W,PHOOLMATI,FEMALE,OBC,jaguvas,ALWAR,BEHROR,
325,ALWAR,BEHROR,JAKHRANA KALAN,SC W,RESHMI,FEMALE,SC,jakhranakalan,ALWAR,BEHROR,
326,ALWAR,BEHROR,JATGANWDA,GEN,DARIYAVSINGH,MALE,OBC,jatgaveda,ALWAR,BEHROR,
327,ALWAR,BEHROR,JENPURWAS,GEN,RAMSHARAN,MALE,OBC,janpurbas,ALWAR,BEHROR,
328,ALWAR,BEHROR,KANKARDOPA,GEN,ROHITASHAV,MALE,OBC,kakardopa,ALWAR,BEHROR,
329,ALWAR,BEHROR,KARODA,GEN,RAJARAM,MALE,OBC,karoda,ALWAR,BEHROR,
330,ALWAR,BEHROR,KHOHAR,GEN,PURANSINGH,MALE,GEN,khoher,ALWAR,BEHROR,
331,ALWAR,BEHROR,KHOHRI,GEN,BHOLARAM,MALE,OBC,khohri,ALWAR,BEHROR,
332,ALWAR,BEHROR,KOHRANA,GEN W,CHANDRAKALA,FEMALE,OBC,kohrana,ALWAR,BEHROR,
333,ALWAR,BEHROR,MANCHAL,SC,DESHRAJ,MALE,SC,manchal,ALWAR,BEHROR,
334,ALWAR,BEHROR,MEHARAJAWAS,OBC,MAHENDRA,MALE,OBC,maharajavas,ALWAR,BEHROR,
335,ALWAR,BEHROR,MOHMADPUR,GEN W,KELI DEVI,FEMALE,OBC,mohammedpur,ALWAR,BEHROR,
336,ALWAR,BEHROR,NANGALKHODIYA,GEN,OMPRAKASH,MALE,OBC,nangal khodiya,ALWAR,BEHROR,
337,ALWAR,BEHROR,PAHADI,SC,PARASRAM,MALE,SC,pahadi,ALWAR,BEHROR,
338,ALWAR,BEHROR,RAMSINGHPURA,GEN,RAGHUBIRSINGH,MALE,OBC,ramsinghpura,ALWAR,BEHROR,
339,ALWAR,BEHROR,RIWALI,OBC,DATARAM,MALE,OBC,riwali,ALWAR,BEHROR,
340,ALWAR,BEHROR,SHERPUR,OBC W,SUSHEELA DEVI,FEMALE,OBC,sherpur,ALWAR,BEHROR,
341,ALWAR,BEHROR,TASING,GEN,SHERSINGH,MALE,GEN,tasing,ALWAR,BEHROR,
342,ALWAR,KATHUMAR,AEDOLI,ST,JUGLYA,MALE,ST,adoli,ALWAR,KATHUMAR,
343,ALWAR,KATHUMAR,ARUVA,GEN W,SHIV DEI JAT,FEMALE,OBC,arurwa,ALWAR,KATHUMAR,
344,ALWAR,KATHUMAR,BADONDAKAN,OBC,JAGAN DEVI,FEMALE,OBC,badodakan,ALWAR,KATHUMAR,
345,ALWAR,KATHUMAR,BASENTH,OBC,TUHI RAM,MALE,OBC,baseth,ALWAR,KATHUMAR,
346,ALWAR,KATHUMAR,BEHRAMPUR,SC,SUKKA RAM,MALE,SC,behrampur,ALWAR,KATHUMAR,
347,ALWAR,KATHUMAR,BEHTUKALA,GEN W,BIRMA YADAV,FEMALE,OBC,behtukala,ALWAR,KATHUMAR,
348,ALWAR,KATHUMAR,BHANONKHAR,GEN,NANNURAM MEENA,MALE,ST,bhanokher,ALWAR,KATHUMAR,
349,ALWAR,KATHUMAR,DANTIYA,GEN,SARITA JAIN,FEMALE,GEN,dantiya,ALWAR,KATHUMAR,
350,ALWAR,KATHUMAR,DARODA,GEN,DINESH CHAND,MALE,GEN,daroda,ALWAR,KATHUMAR,
351,ALWAR,KATHUMAR,DOUROLI,GEN,DHANI RAM,MALE,ST,doroli,ALWAR,KATHUMAR,
352,ALWAR,KATHUMAR,GARU,GEN,KISHORE SAINI,MALE,OBC,garo,ALWAR,KATHUMAR,
353,ALWAR,KATHUMAR,ISHROTA,SC,BUDHI JATAV,MALE,SC,isrota,ALWAR,KATHUMAR,
354,ALWAR,KATHUMAR,JAHADU,SC,RATTIRAM,MALE,SC,jahadu,ALWAR,KATHUMAR,
355,ALWAR,KATHUMAR,JANDLA,GEN,JITENDRA SHARMA,MALE,GEN,jadla,ALWAR,KATHUMAR,
356,ALWAR,KATHUMAR,JATWADA,GEN,RAMVIR SINGH RAJPUT,MALE,GEN,jatwada,ALWAR,KATHUMAR,
357,ALWAR,KATHUMAR,KALWADI,GEN W,BHAGWAN DEI,FEMALE,GEN,kalwadi,ALWAR,KATHUMAR,
358,ALWAR,KATHUMAR,KATHUMAR,GEN,SHYAMLAL SHARMA,MALE,GEN,kathumar,ALWAR,KATHUMAR,
359,ALWAR,KATHUMAR,KHEDA MAIDA,SC,HULLAD,MALE,SC,khedameda,ALWAR,KATHUMAR,
360,ALWAR,KATHUMAR,KHENDAKALYANPUR,OBC W,KISTURI,FEMALE,OBC,kheda kalyanpura,ALWAR,KATHUMAR,
361,ALWAR,KATHUMAR,KHERLIRAIL,GEN W,GILASI,FEMALE,ST,khedlirail,ALWAR,KATHUMAR,
362,ALWAR,KATHUMAR,KHOHN,GEN W,LAXMI DEVI YADAV,FEMALE,OBC,khoh,ALWAR,KATHUMAR,
363,ALWAR,KATHUMAR,KHOUNKHAR,OBC W,KISTURI DEVI,FEMALE,OBC,khonkher,ALWAR,KATHUMAR,
364,ALWAR,KATHUMAR,MAITHNA,GEN,PRAKASH GURJAR,MALE,OBC,mainthana,ALWAR,KATHUMAR,
365,ALWAR,KATHUMAR,MASARI,GEN W,GEETA DEVI,FEMALE,SC,mesari,ALWAR,KATHUMAR,
366,ALWAR,KATHUMAR,MATHURAHEDA,SC W,PINKI DEVI,FEMALE,SC,mathuraheda,ALWAR,KATHUMAR,
367,ALWAR,KATHUMAR,NAHAR KHOHRA,ST W,RAM DULARI,FEMALE,ST,nahar khohra,ALWAR,KATHUMAR,
368,ALWAR,KATHUMAR,NATOJ,ST,LILARAM MEENA,MALE,ST,natoj,ALWAR,KATHUMAR,
369,ALWAR,KATHUMAR,NOORPUR,GEN,RAMSWAROOP MEENA,MALE,ST,nurpur,ALWAR,KATHUMAR,
370,ALWAR,KATHUMAR,RETA,GEN,SHYAM SHARAN SINGH,MALE,GEN,reta,ALWAR,KATHUMAR,
371,ALWAR,KATHUMAR,SAHADI,GEN,ARJUN SINGH GURJAR,MALE,OBC,sahari,ALWAR,KATHUMAR,
372,ALWAR,KATHUMAR,SALWADI,SC,POORAN SINGH,MALE,SC,salwadi,ALWAR,KATHUMAR,
373,ALWAR,KATHUMAR,SAMUCHI,OBC,RAMKISHORE SAINI,MALE,OBC,samuchi,ALWAR,KATHUMAR,
374,ALWAR,KATHUMAR,SHENIJAYAN,SC W,SONI DEVI,FEMALE,SC,shenijayan,ALWAR,KATHUMAR,
375,ALWAR,KATHUMAR,SOKHRI,ST W,RUKMANI DEVI MEENA,FEMALE,ST,sonkheri,ALWAR,KATHUMAR,
376,ALWAR,KATHUMAR,SOUNKH,SC,NATHI SINGH,MALE,SC,sonkh,ALWAR,KATHUMAR,
377,ALWAR,KATHUMAR,SOUNKHAR,GEN,LAXMI NARAYAN,MALE,OBC,sonkher,ALWAR,KATHUMAR,
378,ALWAR,KATHUMAR,TASAI,GEN W,KANTA DEVI,FEMALE,GEN,tasai,ALWAR,KATHUMAR,
379,ALWAR,KATHUMAR,TIGARIYA,ST,GULAB CHAND MEENA,MALE,ST,tigariya,ALWAR,KATHUMAR,
380,ALWAR,KATHUMAR,TIKRI,SC W,PHOOLWATI,FEMALE,SC,tikeri,ALWAR,KATHUMAR,
381,ALWAR,KATHUMAR,TITPURI,SC,RAMESH,MALE,SC,titpuri,ALWAR,KATHUMAR,
382,ALWAR,KATHUMAR,TODA,GEN,BASANTA YADAV,MALE,OBC,toda,ALWAR,KATHUMAR,
383,ALWAR,KISHANGARH BAS,BACHHODA,OBC W,SAROJ,FEMALE,OBC,bachhoda,ALWAR,KISHANGARH BAS,
384,ALWAR,KISHANGARH BAS,BAHADUR PUR,SC W,BHAGWANI,FEMALE,SC,bahaderpur,ALWAR,KISHANGARH BAS,
385,ALWAR,KISHANGARH BAS,BAHADURPUR PATTI JORIYAN,OBC,MANOHAR LAL,MALE,OBC,bahaderpur patti,ALWAR,KISHANGARH BAS,
386,ALWAR,KISHANGARH BAS,BASKRIPAL NAGAR,GEN,KRISHAN KUMAR YADAV,MALE,OBC,baskripalnagar,ALWAR,KISHANGARH BAS,
387,ALWAR,KISHANGARH BAS,BHAGERI KALA,SC,PURAN SINGH,MALE,SC,bagherikalan,ALWAR,KISHANGARH BAS,
388,ALWAR,KISHANGARH BAS,BHAMBORA,GEN W,GEETA,FEMALE,OBC,bambora,ALWAR,KISHANGARH BAS,
389,ALWAR,KISHANGARH BAS,BHEJEDA,GEN,KAILASH,MALE,OBC,bhajeda,ALWAR,KISHANGARH BAS,
390,ALWAR,KISHANGARH BAS,BRASADPUR,GEN,SAHABDIN,MALE,OBC,brasadpur,ALWAR,KISHANGARH BAS,
391,ALWAR,KISHANGARH BAS,CHIKANI,GEN,BACHCHU SINGH,MALE,GEN,chikani,ALWAR,KISHANGARH BAS,
392,ALWAR,KISHANGARH BAS,GANJ,GEN,BHOLARAM,MALE,GEN,ganj,ALWAR,KISHANGARH BAS,
393,ALWAR,KISHANGARH BAS,GHASOULI,OBC,RUDARAM,MALE,OBC,ghasoli,ALWAR,KISHANGARH BAS,
394,ALWAR,KISHANGARH BAS,ISMAILPUR,OBC,IBRAHIM,MALE,OBC,ismailpur,ALWAR,KISHANGARH BAS,
395,ALWAR,KISHANGARH BAS,KAROLI,OBC W,MEMUNA,FEMALE,OBC,karoli,ALWAR,KISHANGARH BAS,
396,ALWAR,KISHANGARH BAS,KHANPUR MEWAN,GEN W,SARIPAN,FEMALE,OBC,khanpurmewan,ALWAR,KISHANGARH BAS,
397,ALWAR,KISHANGARH BAS,KISHANGARH BAS,SC W,ANGURI DEVI,FEMALE,SC,kishangarhbas,ALWAR,KISHANGARH BAS,
398,ALWAR,KISHANGARH BAS,KITHUR,SC,SUBARAM,MALE,SC,kithur,ALWAR,KISHANGARH BAS,
399,ALWAR,KISHANGARH BAS,KOLGAON,GEN,NEHPALSINGH,MALE,GEN,kolgaon,ALWAR,KISHANGARH BAS,
400,ALWAR,KISHANGARH BAS,LAGADBAS,GEN W,ANITA YADAV,FEMALE,OBC,langadbas,ALWAR,KISHANGARH BAS,
401,ALWAR,KISHANGARH BAS,MACHA,SC,HETRAM,MALE,SC,manchal,ALWAR,KISHANGARH BAS,
402,ALWAR,KISHANGARH BAS,MACHHROLI,OBC,DAYARAM,MALE,OBC,machhroli,ALWAR,KISHANGARH BAS,
403,ALWAR,KISHANGARH BAS,MAHOND,GEN,VISHRAM,MALE,OBC,mahonda,ALWAR,KISHANGARH BAS,
404,ALWAR,KISHANGARH BAS,MEHARAMPUR,GEN W,SHEELA DEVI,FEMALE,OBC,mehermpur,ALWAR,KISHANGARH BAS,
405,ALWAR,KISHANGARH BAS,MUSAKHEDA,GEN,JAYANARAYAN URF JANI,MALE,GEN,musakheda,ALWAR,KISHANGARH BAS,
406,ALWAR,KISHANGARH BAS,NOORNAGAR,GEN,MURLIDHAR,MALE,GEN,nurnagar,ALWAR,KISHANGARH BAS,
407,ALWAR,KISHANGARH BAS,PATAN MEWAN,GEN,GOVINDRAM,MALE,GEN,patanmewan,ALWAR,KISHANGARH BAS,
408,ALWAR,KISHANGARH BAS,RAIBKA,SC,YADRAM,MALE,SC,raibka,ALWAR,KISHANGARH BAS,
409,ALWAR,KISHANGARH BAS,RATA KHURD,GEN W,INDO BAI,FEMALE,OBC,ratakhurd,ALWAR,KISHANGARH BAS,
410,ALWAR,KISHANGARH BAS,SIRMOLI,GEN W,RAHISAN,FEMALE,OBC,sirmoli,ALWAR,KISHANGARH BAS,
411,ALWAR,KISHANGARH BAS,TARWALA,GEN,PRATAP SINGH,MALE,OBC,terwala,ALWAR,KISHANGARH BAS,
412,ALWAR,KOTKASIM,BADHANA,GEN,DHANSINGH,MALE,OBC,badhana,ALWAR,KOTKASIM,
413,ALWAR,KOTKASIM,BHAGERI KHURD,GEN,LEELA RAM,MALE,OBC,bagherikhurd,ALWAR,KOTKASIM,
414,ALWAR,KOTKASIM,BHANKAR,GEN,RAM KUMAR YADAV,MALE,OBC,bhonker,ALWAR,KOTKASIM,
415,ALWAR,KOTKASIM,BILAHEDI,GEN W,SUSHEELA DEVI,FEMALE,OBC,belahedi,ALWAR,KOTKASIM,
416,ALWAR,KOTKASIM,BUDHI BAVAL,GEN,KANWAR SINGH YADAV,MALE,OBC,budhibawal,ALWAR,KOTKASIM,
417,ALWAR,KOTKASIM,GHIKAKA,SC,BANE SINGH,MALE,SC,ghikaka,ALWAR,KOTKASIM,
418,ALWAR,KOTKASIM,GUNSAR,GEN W,KALAWATI,FEMALE,OBC,gunsar,ALWAR,KOTKASIM,
419,ALWAR,KOTKASIM,HARSOULI,SC W,INDU DEVI,FEMALE,SC,harsoli,ALWAR,KOTKASIM,
420,ALWAR,KOTKASIM,IKROTIYA,GEN,DHARAM PAL,MALE,OBC,ikrotiya,ALWAR,KOTKASIM,
421,ALWAR,KOTKASIM,JATIYANA,OBC,NABI KHAN,MALE,OBC,jatiyana,ALWAR,KOTKASIM,
422,ALWAR,KOTKASIM,JOUDIYA,OBC,TEJRAM,MALE,OBC,jodiya,ALWAR,KOTKASIM,
423,ALWAR,KOTKASIM,KANHADKA,OBC W,RAMRATI YADAV,FEMALE,OBC,kanhedka,ALWAR,KOTKASIM,
424,ALWAR,KOTKASIM,KETOPUR,SC W,MISHRI URF MISHRO,FEMALE,SC,ketopur,ALWAR,KOTKASIM,
425,ALWAR,KOTKASIM,KHANPUR AHIR,GEN,DHANI RAM,MALE,OBC,khanpur ahir,ALWAR,KOTKASIM,
426,ALWAR,KOTKASIM,KOTKASIM,SC,CHANDGIRAM VERMA,MALE,SC,kotkasim,ALWAR,KOTKASIM,
427,ALWAR,KOTKASIM,LADPUR,SC,NAHAR SINGH,MALE,SC,ladpur,ALWAR,KOTKASIM,
428,ALWAR,KOTKASIM,MAKDAVA,OBC W,INDUBALA,FEMALE,OBC,makdawa,ALWAR,KOTKASIM,
429,ALWAR,KOTKASIM,NANGAL SALIYA,GEN,PRASHANT SHARMA,MALE,GEN,nangalsaliya,ALWAR,KOTKASIM,
430,ALWAR,KOTKASIM,PATAN AHIR,GEN,RADHEYSHYAM,MALE,OBC,patanahir,ALWAR,KOTKASIM,
431,ALWAR,KOTKASIM,PATLIYA,GEN W,LALITA,FEMALE,OBC,patliya,ALWAR,KOTKASIM,
432,ALWAR,KOTKASIM,PUR,GEN,LAKHMICHAND,MALE,OBC,pur,ALWAR,KOTKASIM,
433,ALWAR,KOTKASIM,TEUWAS,OBC,RAMSINGH,MALE,OBC,taubas,ALWAR,KOTKASIM,
434,ALWAR,KOTKASIM,TIGANWA,GEN,SHER SINGH,MALE,GEN,tigawa,ALWAR,KOTKASIM,
435,ALWAR,KOTKASIM,UJOULI,GEN W,AMITA DEVI,FEMALE,OBC,ujoli,ALWAR,KOTKASIM,
436,ALWAR,LAXMANGARH,BADKA,GEN,AMAR SINGH,MALE,ST,badka,ALWAR,LAXMANGARH,
437,ALWAR,LAXMANGARH,BADODAMEV,OBC,LIYAKAT ALI,MALE,OBC,badodamew,ALWAR,LAXMANGARH,
438,ALWAR,LAXMANGARH,BERLA,GEN W,AAI RASULI,FEMALE,OBC,berla,ALWAR,LAXMANGARH,
439,ALWAR,LAXMANGARH,BHAINSDAWAT,OBC W,JUBEDA,FEMALE,OBC,bhesadawat,ALWAR,LAXMANGARH,
440,ALWAR,LAXMANGARH,BICHGAONA,OBC W,SAROJ SAINI,FEMALE,OBC,bichgaon,ALWAR,LAXMANGARH,
441,ALWAR,LAXMANGARH,BUNTOLI,GEN W,SHAHIDA,FEMALE,OBC,butoli,ALWAR,LAXMANGARH,
442,ALWAR,LAXMANGARH,BUTIYANA,GEN,KAJODI,MALE,OBC,butiyana,ALWAR,LAXMANGARH,
