year,ward_no,candidate,party,party_local,votes,rank,source_path
2017,138,PARVEEN NASEEMAHMED KHAN,NCP,Nationalist Congress Party,1395,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,138,SHABNAM MATINAHMED KHAN,INC,Indian National Congress,1245,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,138,Shamim bano Mohammed Tarique Khan,BJP,Bhartiya Janata Party,681,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,138,SHABANABANO SUBHAN ANSARI,AIMIM,All India Majlis e Ittehadul Muslimeen,488,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,138,NAUREENFATIMA MOHAMMADRAZA SHAIKH,Bhartiya Shetkari Kamgar Paksh,Bhartiya Shetkari Kamgar Paksh,109,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,138,SHIRIN SAMIULLAH ANSARI,Indian Union Muslim League,Indian Union Muslim League,74,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,138,ZAINABBEE ABRAR KHAN,SP,Samajwadi Party,32,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,138,RAZIYASULTANA IMRAN KHAN,IND,Independent,12,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,138,NOTA,,,132,,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,AKHTER ABDULRAJJAK QURESHI,SP,Samajwadi Party,4782,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,Arun Vishwanath Kamble,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,3913,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,SURESH KRISHNARAO PATIL,SS,Shivsena,3733,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,Shareef ibrahim Shaikh,AIMIM,All India Majlis e Ittehadul Muslimeen,2077,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,VELUSWAMY SUBHEEYA NAIDU,INC,Indian National Congress,1542,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,RAJENDRA WAMAN WAGHMARE,NCP,Nationalist Congress Party,686,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,SATISH VISHWAMBHAR VAIDYA,MNS,Maharashtra Navnirman Sena,609,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,RAMESH SURESH KAMBLE,BSP,Bahujan Samaj Party,534,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,CHANDRAKANT DADU NYAYNIRGUNE,Republican Party of India (A),Republican Party of India (A),441,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,Prakash Supadu Bankar,IND,Independent,372,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,MOHAMMEDIRFAN KARIMAHMED SHAIKH,IND,Independent,292,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,MEENA BHAUSAHEB SALVE,IND,Independent,285,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,Ratan Piraji Nirbhavane,bahujan republican sociolist party,bahujan republican sociolist party,249,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,Pravin Ambadas Dabhade,IND,Independent,177,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,ERPHANGULAM ASGAR MIRZA,Bhartiya Shetkari Kamgar Paksh,Bhartiya Shetkari Kamgar Paksh,171,15,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,GANGARAM DULBA KAMBLE,IND,Independent,107,16,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,PRAVIN JANARDHAN AWARE,IND,Independent,64,17,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,MUKHTARHUSSAIN HAKIM RIZVI,INC,Indian National Congress,50,18,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,Ananda Vitthal Nirmale,Republican Paksha Khoripa,Republican Paksha Khoripa,48,19,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,SHAKEELAHMED FAKIRMOHAMMED SHAIKH,IND,Independent,36,20,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,NIRAJ NATHURAM UBHARE,Rashtriya Samaj Paksha,Rashtriya Samaj Paksha,21,21,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,MOHAMMADALI MUMTAJALI SAYYED,Indian Union Muslim League,Indian Union Muslim League,8,22,data/maharashtra/mumbai/mumbai_2017.csv
2017,139,NOTA,,,230,,data/maharashtra/mumbai/mumbai_2017.csv
2017,140,Nadiya Mohsin Shaikh,NCP,Nationalist Congress Party,4673,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,140,Surekha Shankar Dhaygude,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,3848,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,140,AYESHA ANIS SHAIKH,SP,Samajwadi Party,3277,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,140,RANJANA SHAHAJI NARAVADE,SS,Shivsena,3269,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,140,VAISHALI SHASHIKANT PATIL,INC,Indian National Congress,3223,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,140,MADHAVI ASHOK PATIL,Rashtriya Samaj Paksha,Rashtriya Samaj Paksha,1472,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,140,BHARATI SANJAY KHARE,MNS,Maharashtra Navnirman Sena,1055,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,140,RESHMA RAMESH NEVREKAR,Bhartiya Shetkari Kamgar Paksh,Bhartiya Shetkari Kamgar Paksh,459,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,140,NOTA,,,405,,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,Vitthal Govind Lokare,INC,Indian National Congress,3642,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,Dinesh Harishchandra Panchal,BJP,Bhartiya Janata Party,2658,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,Nadim MohdRafi Durrani,SP,Samajwadi Party,2337,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,Vijay Suresh Raorane,MNS,Maharashtra Navnirman Sena,2249,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,Sajid Abdul Hakim Khan,NCP,Nationalist Congress Party,2135,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,HEMANT RAMCHANDRA SALVI,SS,Shivsena,1998,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,Shatabdi Siddharth Kamble,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,1114,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,abdulkadeer usmangani sayyed,AIMIM,All India Majlis e Ittehadul Muslimeen,388,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,JAYASHREE PRAKASH GAIKWAD,BSP,Bahujan Samaj Party,308,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,AMOL BHIMRAO KSHIRSAGAR,IND,Independent,107,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,Atmaram Ramkishan Suryawanshi,IND,Independent,95,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,Paul Martin Fernandes,IND,Independent,83,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,MADHUKAR SIDRAM RASTE,NCP,Nationalist Congress Party,70,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,Sambhaji Balu Waghmare,IND,Independent,69,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,NILESH KASHINATH BANSODE,IND,Independent,68,15,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,RIZWAN AKHTAR QURESHI,Indian Union Muslim League,Indian Union Muslim League,60,16,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,CHANDANKUMAR PREMCHAND BHATT,Bhartiya Shetkari Kamgar Paksh,Bhartiya Shetkari Kamgar Paksh,52,17,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,Santosh Genu Dhotre,IND,Independent,48,18,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,MohdJahangir MohdYusuf Ansari,IND,Independent,42,19,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,Ganesh Dagduba Sable,Bahujan Mukti Party,Bahujan Mukti Party,37,20,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,AhmedParvez ImtiyazAhmed Idrisi,IND,Independent,27,21,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,SAUMITRASEN EKNATH DHIWAR,IND,Independent,12,22,data/maharashtra/mumbai/mumbai_2017.csv
2017,141,NOTA,,,107,,data/maharashtra/mumbai/mumbai_2017.csv
2017,142,VAISHALI NAVIN SHEWALE,SS,Shivsena,5312,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,142,SUREKHA CHANDRAKANT ALDAR,BJP,Bhartiya Janata Party,3122,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,142,Neeta Vikas Tambe,INC,Indian National Congress,2029,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,142,sarika sanjay kamble,NCP,Nationalist Congress Party,1241,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,142,Vaishali Suresh Khillare,MNS,Maharashtra Navnirman Sena,1120,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,142,MEENAKSHI HARISHCHANDRA AJGAONKAR,BSP,Bahujan Samaj Party,530,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,142,Gitanjali Shankar Sathe,Republican Party of India (A),Republican Party of India (A),227,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,142,sunita dinkar kamble,IND,Independent,183,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,142,MANISHA SHRIRANG JAGTAP,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,88,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,142,SUSHMITA NITISH VHATKAR,INC,Indian National Congress,54,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,142,Shobha Siddharth Suradkar,SS,Shivsena,49,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,142,NOTA,,,195,,data/maharashtra/mumbai/mumbai_2017.csv
2017,143,Rutuja Rhadayanath Tari,SS,Shivsena,4031,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,143,Ayesha MehmoodQadri Sayyed,AIMIM,All India Majlis e Ittehadul Muslimeen,3882,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,143,Chhaya Sumersingh Patil,MNS,Maharashtra Navnirman Sena,2853,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,143,ILASBI PAIGAMBAR MUJAWAR,NCP,Nationalist Congress Party,2613,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,143,PURVA PRADIP HARAM,BJP,Bhartiya Janata Party,2045,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,143,shilpa satish belamkar,INC,Indian National Congress,1059,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,143,SUSHMA MAHAVIR SONWANE,BSP,Bahujan Samaj Party,835,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,143,MANISHA PRABHAKAR PATIL,INC,Indian National Congress,665,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,143,DIPIKA SANDEEP AGRE,BSP,Bahujan Samaj Party,171,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,143,SANGITA SHRIPATI NARALE,IND,Independent,170,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,143,NOTA,,,255,,data/maharashtra/mumbai/mumbai_2017.csv
2017,144,Anita Dinesh Panchal,BJP,Bhartiya Janata Party,7764,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,144,KAMINI RAHUL SHEWALE,SS,Shivsena,7273,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,144,Samiksha Santosh Vichare,INC,Indian National Congress,2271,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,144,RUPALI SACHIN DATE,NCP,Nationalist Congress Party,1783,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,144,Rohini Ramesh Kadam,MNS,Maharashtra Navnirman Sena,975,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,144,SANGITA VISHNU DHASAL,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,570,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,144,Rubina Sadik Shaikh,IND,Independent,228,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,144,Anjali Prasenjeet Mohite,IND,Independent,125,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,144,TARA VISHNU SHINDE,IND,Independent,50,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,144,Ashwini Mahendra Jadhav,Republican Party of India (A),Republican Party of India (A),42,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,144,SHARMISHTHA MADHUKAR KODAG,IND,Independent,30,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,144,NOTA,,,492,,data/maharashtra/mumbai/mumbai_2017.csv
2017,145,SHAHNAWAZ SARFARAZHUSSAIN SHAIKH,AIMIM,All India Majlis e Ittehadul Muslimeen,6123,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,145,Nimish Janardan Bhosale,SS,Shivsena,5659,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,145,MAJEET MOHAMMEDHANIF SHAIKH,INC,Indian National Congress,3107,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,145,Sirajuddin Salahuddin Khan,NCP,Nationalist Congress Party,2192,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,145,Shabir Siddique Khan,IND,Independent,1941,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,145,MOHAMMEDFAROOQUE ABDULRAZAK SHAIKH,IND,Independent,1351,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,145,Pankaj Mohanlal Surana,BJP,Bhartiya Janata Party,1048,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,145,Murugan Shankar Thevar,All India Anna Dravid Munnetra Kazhagam Party,All India Anna Dravid Munnetra Kazhagam Party,456,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,145,MANJU BHOLESHANKAR KUMARE,IND,Independent,125,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,145,FARAZAHMAD NISAR KHAN,IND,Independent,103,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,145,GANESH BHAGOJI PATIL,MNS,Maharashtra Navnirman Sena,97,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,145,IMRANAZAD DAWOOD SANJAR,IND,Independent,89,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,145,PRATIK KAMLAKAR PENDHARI,Bhartiya Shetkari Kamgar Paksh,Bhartiya Shetkari Kamgar Paksh,43,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,145,NOTA,,,204,,data/maharashtra/mumbai/mumbai_2017.csv
2017,146,SAMRIDDHI GANESH KATE,SS,Shivsena,8622,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,146,Nilesh Prakash Bhosle,NCP,Nationalist Congress Party,5071,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,146,ANITA JITESH KATKAR,Republican Party of India (A),Republican Party of India (A),2526,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,146,SHANKAR SOPAN DHOBLE,INC,Indian National Congress,2191,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,146,SHASHANK RUPA KAMBLE,BSP,Bahujan Samaj Party,753,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,146,RAJESH BABURAO PURBHE,MNS,Maharashtra Navnirman Sena,745,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,146,BHAUSAHEB RANGNATH VARTHE,IND,Independent,623,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,146,REKHA DINESH GAIKWAD,IND,Independent,295,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,146,SHANTILAL HIRAJI KHADE,SP,Samajwadi Party,208,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,146,NEETA SANDEEP WAKADE,BJP,Bhartiya Janata Party,197,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,146,SAKHUBAI KASHINATH JAGTAP,IND,Independent,83,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,146,MAHENDRA TULSHIRAM BHINGARDIVE,BSP,Bahujan Samaj Party,80,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,146,RAVINDRA NIVRUTTI SAPUTRE,IND,Independent,61,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,146,RAMESH SHANKAR SONAVANE,Peasants & Workers Party of India,Peasants & Workers Party of India,54,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,146,NOTA,,,776,,data/maharashtra/mumbai/mumbai_2017.csv
2017,147,Anjali Sanjay Naik,SS,Shivsena,7565,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,147,Seema Rajendra Mahulkar,INC,Indian National Congress,5163,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,147,MANISHA SANTOSH CHEMATE,Republican Party of India (A),Republican Party of India (A),3927,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,147,Jinat Aziz Qureshi,NCP,Nationalist Congress Party,1504,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,147,AARTI SURESH THOMBARE,MNS,Maharashtra Navnirman Sena,462,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,147,SHRUTIKA BAPURAO CHOUGULE,BSP,Bahujan Samaj Party,260,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,147,SUNITA PARSHURAM RAUT,IND,Independent,139,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,147,RAJANI DEEPAK SHINDE,NCP,Nationalist Congress Party,123,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,147,NOTA,,,475,,data/maharashtra/mumbai/mumbai_2017.csv
2017,148,Nidhi Pramod Shinde,SS,Shivsena,4485,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,148,RUKMINI VITHAL KHARATMOL,BJP,Bhartiya Janata Party,3256,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,148,PRANITA BALASAHEB RATHOD,INC,Indian National Congress,2448,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,148,Rekha Madhukar Shirsat,NCP,Nationalist Congress Party,1716,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,148,USHA ANIL KAMBLE,INC,Indian National Congress,1333,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,148,SHOBHA ASHOK SHANBHAG,MNS,Maharashtra Navnirman Sena,1009,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,148,RAJRANI BRIJESH SHARMA,SP,Samajwadi Party,502,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,148,SNEHLATA RANJAN NIKALE,BSP,Bahujan Samaj Party,250,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,148,SUREKHA BHIMRAO KSHIRSAGAR,Bhartiya Shetkari Kamgar Paksh,Bhartiya Shetkari Kamgar Paksh,71,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,148,VIMAL KAILASH SONAVANE,IND,Independent,64,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,148,SUNITA GANESH KAMBLE,bahujan republican sociolist party,bahujan republican sociolist party,61,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,148,PRAMILADEVI ASHOK JAISWAL,IND,Independent,54,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,148,VAISHALI MILIND JAGTAP,Republican Party of India (A),Republican Party of India (A),49,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,148,pranjali prakash jadhav,IND,Independent,29,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,148,NOTA,,,200,,data/maharashtra/mumbai/mumbai_2017.csv
2017,149,SUSHAM GOPAL SAWANT,BJP,Bhartiya Janata Party,5927,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,149,SANJAY ISHWAR KADAM,SS,Shivsena,3808,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,149,Yatin Ravindra Salvi,INC,Indian National Congress,3233,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,149,RAJEEV SUMANT CHAUGULE,MNS,Maharashtra Navnirman Sena,2973,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,149,Ganesh Ramrup Awasthi,IND,Independent,2903,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,149,RAJESH KERU KATARNAVRE,BSP,Bahujan Samaj Party,1756,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,149,SURESH DINKAR GAWARE,NCP,Nationalist Congress Party,606,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,149,KIRAN VASANT SHIRWALKAR,IND,Independent,479,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,149,DNYANESHWAR KONDAJI KALE,IND,Independent,387,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,149,VASANTH SANJEEVA PUTHRAN,IND,Independent,62,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,149,HEMA VISHNU BANDEKAR,IND,Independent,57,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,149,NOTA,,,378,,data/maharashtra/mumbai/mumbai_2017.csv
2017,150,SANGEETA CHANDRAKANT HANDORE,INC,Indian National Congress,8046,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,150,KRISHNA ANNA MANE,Republican Party of India (A),Republican Party of India (A),2204,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,150,Aruna Nalasheth Kakad,SS,Shivsena,1799,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,150,Prashant Mahadev Shivankar,BSP,Bahujan Samaj Party,905,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,150,Vinod Bapu Zagade,MNS,Maharashtra Navnirman Sena,812,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,150,PRABHAKAR ASARAM DHAWALE,AIMIM,All India Majlis e Ittehadul Muslimeen,806,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,150,MAYUR RAMCHANDRA ATHAWALE,bahujan republican sociolist party,bahujan republican sociolist party,738,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,150,JITENDRA BABURAO SHINDE,NCP,Nationalist Congress Party,699,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,150,Mohinuddin Moiddin Sayed,IND,Independent,603,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,150,BABASAHEB DNYANU BANSODE,SP,Samajwadi Party,480,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,150,Kumar Chintaman Thorat,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,381,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,150,SNEHA SANJAY BHALERAO,Republican Party of India (A),Republican Party of India (A),302,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,150,ANITA KIRAN PATOLE,SS,Shivsena,174,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,150,ASHOK RAMA PATIL,IND,Independent,114,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,150,Vishal Sham Waghmare,Ambedkarite Party Of India,Ambedkarite Party Of India,88,15,data/maharashtra/mumbai/mumbai_2017.csv
2017,150,suvarna sandeep jadhav,IND,Independent,77,16,data/maharashtra/mumbai/mumbai_2017.csv
2017,150,BHASKAR PANDURANG NYAYNIT,IND,Independent,53,17,data/maharashtra/mumbai/mumbai_2017.csv
2017,150,BHUJLING BHIWA SONAWANE,Republican Party of India (A),Republican Party of India (A),47,18,data/maharashtra/mumbai/mumbai_2017.csv
2017,150,NOTA,,,341,,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,RAJESH OMPRAKASH FULWARIA,BJP,Bhartiya Janata Party,9972,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,Gautam Ganpat Sable,INC,Indian National Congress,5295,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,Kamlakar Shantaram Naik,SS,Shivsena,4175,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,SHARWANCHAND SEWARAM NAVAL,BSP,Bahujan Samaj Party,1018,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,Ganesh Subramaniam Subramaniam,NCP,Nationalist Congress Party,760,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,RAMCHANDRA ABAJI AVHAD,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,363,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,ASHITOSH BHAIRU DHAWALE,MNS,Maharashtra Navnirman Sena,334,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,MANJULA DIPAK PAWAR,Republican Party of India (A),Republican Party of India (A),277,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,RAMVRIKSHA RAMLAUT CHAUDHARI,IND,Independent,198,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,RAJU VIJAY THORAT,IND,Independent,174,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,GIRISH SURENDRA ADHAV,IND,Independent,130,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,KANHAIYALAL RAJARAM GUPTA,IND,Independent,128,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,VITHAL PANDURANG KADAM,Republican Party of India (A),Republican Party of India (A),123,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,RAJESH NANDU SASANE,IND,Independent,120,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,SARAVANABHAVAN SAMIKKAN NADAR,IND,Independent,120,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,SHANKAR SUMANBHAI ROSIA,Swabhimani Republican Party,Swabhimani Republican Party,97,15,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,Dalpatram Bhomaramji Borana,IND,Independent,40,16,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,SACHIN JAYHIND DEDE,IND,Independent,25,17,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,SANTOSH GOPINATH KONDGEKAR,IND,Independent,21,18,data/maharashtra/mumbai/mumbai_2017.csv
2017,151,NOTA,,,222,,data/maharashtra/mumbai/mumbai_2017.csv
2017,152,ASHA SUBHASH MARATHE,BJP,Bhartiya Janata Party,7715,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,152,Sonali Prakash Salve,SS,Shivsena,6322,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,152,Vishal Bhagwandas More,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,3148,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,152,SUNIL MANOHAR BANSODE,Republican Party of India (A),Republican Party of India (A),2286,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,152,SHIVAJIRAO BHAGWAT SALVE,INC,Indian National Congress,1851,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,152,MANOJ PANDURANG RAMRAJE,MNS,Maharashtra Navnirman Sena,1056,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,152,AMAR JYOTIRAM KAMBLE,BSP,Bahujan Samaj Party,458,7,data/maharashtra/mumbai/mumbai_2017.csv
