source_pdf,tier,reservation_raw,caste_reservation_local,caste_reservation,woman_reserved,count,min_match_score
block_member_kamrej_tps_2020.pdf,block_member,સામાન્યસ્ત્રી,સામાન્ય સ્ત્રી,NONE,1,2,1.0
block_member_kodinar_tps_2020.pdf,block_member,_ અનુસૂચિતજાતિસ્ત્રી |.,અનુસૂચિત જાતિ સ્ત્રી,SC,1,1,1.0
block_member_kodinar_tps_2020.pdf,block_member,અનુસૂચિત આદિજાતિ |,અનુસૂચિત આદિજાતિ,ST,0,1,1.0
block_member_kodinar_tps_2020.pdf,block_member,અનુસૂચિત જાતિ સ્ત્રી ।,અનુસૂચિત જાતિ સ્ત્રી,SC,1,1,1.0
block_member_kodinar_tps_2020.pdf,block_member,અનુસૂચિતજાતિ |,અનુસૂચિત જાતિ,SC,0,1,1.0
block_member_kodinar_tps_2020.pdf,block_member,અનુસૂચિતજાતિ |.,અનુસૂચિત જાતિ,SC,0,1,1.0
block_member_kodinar_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય,બિન અનામત સામાન્ય,NONE,0,2,1.0
block_member_kodinar_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય |,બિન અનામત સામાન્ય,NONE,0,4,1.0
block_member_kodinar_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય |.,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_kodinar_tps_2020.pdf,block_member,બિનઅનામત સામાન્ય ।,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_kodinar_tps_2020.pdf,block_member,સા.શૈ.પછાતવર્ગ |,સા.શૈ.પછાતવર્ગ,BC,0,1,1.0
block_member_kodinar_tps_2020.pdf,block_member,સા.શૈ.પછાતવર્ગસ્ત્રી |.,સા.શૈ.પછાતવર્ગ સ્ત્રી,BC,1,1,1.0
block_member_kodinar_tps_2020.pdf,block_member,સામન્ય સ્ત્રી .,સામાન્ય સ્ત્રી,NONE,1,1,0.96
block_member_kodinar_tps_2020.pdf,block_member,સામાન્ય સ્ત્ર,સામાન્ય સ્ત્રી,NONE,1,1,0.96
block_member_kodinar_tps_2020.pdf,block_member,સામાન્ય સ્ત્રી 1,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_kodinar_tps_2020.pdf,block_member,સામાન્ય સ્ત્રી |,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_kodinar_tps_2020.pdf,block_member,સામાન્યસ્ત્રી . ।,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_kodinar_tps_2020.pdf,block_member,સામાન્યસ્ત્રી [|,સામાન્ય સ્ત્રી,NONE,1,1,1.0
block_member_kodinar_tps_2020.pdf,block_member,સામાન્યસ્ત્રી |,સામાન્ય સ્ત્રી,NONE,1,2,1.0
block_member_kodinar_tps_2020.pdf,block_member,સામાન્યસ્ત્રીોા 3 ।,સામાન્ય સ્ત્રી,NONE,1,1,0.9286
block_member_limkheda_tps_2020.pdf,block_member,. બિનઅનામત સામાન્ય,બિન અનામત સામાન્ય,NONE,0,1,1.0
block_member_limkheda_tps_2020.pdf,block_member,_અનુસૂચિતજાતિસ્ત્રી ર,અનુસૂચિત જાતિ સ્ત્રી,SC,1,1,0.973
block_member_limkheda_tps_2020.pdf,block_member,_અનુસૂથિત આદિજાતિસ્ત્રી,અનુસૂચિત આદિજાતિ સ્ત્રી,ST,1,1,0.9524
block_member_limkheda_tps_2020.pdf,block_member,અનુસૂચિત આદિજાતિ,અનુસૂચિત આદિજાતિ,ST,0,2,1.0
block_member_limkheda_tps_2020.pdf,block_member,અનુસૂચિત આદિજાતિ .,અનુસૂચિત આદિજાતિ,ST,0,1,1.0
block_member_limkheda_tps_2020.pdf,block_member,અનુસૂચિત આદિજાતિ રા,અનુસૂચિત આદિજાતિ,ST,0,1,0.9375
block_member_limkheda_tps_2020.pdf,block_member,અનુસૂચિત આદિજાતિ સ્ત્રી *,અનુસૂચિત આદિજાતિ સ્ત્રી,ST,1,1,1.0
