Candidate,Party Name ,Ward Number,Constituency Name,Votes Polled,Election Outcome,Reservation Status,Real Assets,Real Liabilities,Asset Error,My Neta Criminal Cases,Ward Number,Direction,Age,Marital Status,Dependents,Other Dependents,PAN ,Returns Filed,Spouse PAN,Spouse Returns Filed,Pending Criminal Cases(Affidavit),Convictions,Spouse Assets,Occupation,Spouse Occupation,EDUCATION,Number of  Voters,Votes Polled ,percentage polled,percent of Votes Polled,percent  of Total Votes,
Grisa,IND,20,Jahangir Puri II (G),69,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.19,
Brahmpal Singh,IND,20,Jahangir Puri II (G),56,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.15,
Nirmala Thakur,BJP,21,Rohini (W),8323,Winner,Women,,,,,,,,,,,,,,,,,,,,,45276,15013,33.16,55.44,18.38,
Saroj Anand,INC,21,Rohini (W),3475,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,23.15,7.68,
Sneh Bala,IND,21,Rohini (W),972,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,6.47,2.15,
Sunita,NCP,21,Rohini (W),899,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,5.99,1.99,
Sushila,IND,21,Rohini (W),431,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,2.87,0.95,
Chanda Rai,BSP,21,Rohini (W),366,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,2.44,0.81,
Supriya Chaudhary,IND,21,Rohini (W),240,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.53,
Santosh Bansal,IND,21,Rohini (W),213,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.42,0.47,
Geeta,IND,21,Rohini (W),41,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.09,
Anita Jain,IND,21,Rohini (W),27,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.06,
Pushpender Kaur,IND,21,Rohini (W),26,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.06,
Harish Awasthi,BJP,22,Rithala (G),6490,Winner,,,,,,,,,,,,,,,,,,,,,,36897,14913,40.42,43.52,17.59,
Gopal Singh,INC,22,Rithala (G),5926,Lost,,,,,,,,,,,,,,,,,,,,,,,,,39.74,16.06,
Ramesh  Kumar,IND,22,Rithala (G),638,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.28,1.73,
Mahipal Sharma,INLD,22,Rithala (G),607,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.07,1.65,
Vijender Kumar,RJD,22,Rithala (G),424,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.84,1.15,
Pooja Goshwami,IND,22,Rithala (G),383,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.57,1.04,
Parvesh Kohli,IND,22,Rithala (G),123,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.33,
Raj Kumar Sharma,IND,22,Rithala (G),104,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.28,
Madan Lal,IND,22,Rithala (G),103,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.69,0.28,
Shila Devi,SP,22,Rithala (G),75,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.2,
Umesh,JMM,22,Rithala (G),40,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.11,
Shambhu Dayal Sharma,INC,23,Budh Vihar (G),9621,Winner,,,,,,,,,,,,,,,,,,,,,,43734,20373,46.58,47.22,22,
Ved Prakash,BJP,23,Budh Vihar (G),3834,Lost,,,,,,,,,,,,,,,,,,,,,,,,,18.82,8.77,
Ranbir Singh,BSP,23,Budh Vihar (G),3774,Lost,,,,,,,,,,,,,,,,,,,,,,,,,18.52,8.63,
Dashrath Kumar,SP,23,Budh Vihar (G),1612,Lost,,,,,,,,,,,,,,,,,,,,,,,,,7.91,3.69,
Bhupender Singh Rawat,IND,23,Budh Vihar (G),334,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.64,0.76,
Sukhveer Singh,IND,23,Budh Vihar (G),313,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.54,0.72,
Sher Mohammad,IND,23,Budh Vihar (G),240,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.18,0.55,
Subhash Chander Verma,INLD,23,Budh Vihar (G),116,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.27,
Jai Chand,IND,23,Budh Vihar (G),114,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.26,
Bharat Nath,IND,23,Budh Vihar (G),101,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.23,
Neeraj,JMM,23,Budh Vihar (G),75,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.17,
Kartar Singh,IND,23,Budh Vihar (G),63,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.14,
Mahaveer Singh,IND,23,Budh Vihar (G),50,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.11,
Vimla,IND,23,Budh Vihar (G),44,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.1,
Rajesh,IND,23,Budh Vihar (G),33,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.08,
Sujat Husain,JD(U),23,Budh Vihar (G),29,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.07,
Sh. Narender Pal,IND,23,Budh Vihar (G),20,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.05,
Madan Kaur Malik,BSP,24,Vijay Vihar (W),6380,Winner,Women,,,,,,,,,,,,,,,,,,,,,39139,17440,44.56,36.58,16.3,
Meenakshi,BJP,24,Vijay Vihar (W),5545,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,31.79,14.17,
Sarita Arya,INC,24,Vijay Vihar (W),4698,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,26.94,12,
Durga Devi,RJD,24,Vijay Vihar (W),254,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.46,0.65,
Savitri Devi,IND,24,Vijay Vihar (W),129,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.33,
Babita,SP,24,Vijay Vihar (W),128,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.33,
Sashi Bala,IND,24,Vijay Vihar (W),100,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.26,
Lilawati Devi,INLD,24,Vijay Vihar (W),71,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.18,
Raj Rani,IND,24,Vijay Vihar (W),35,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.09,
Geeta,IND,24,Vijay Vihar (W),35,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.09,
Anjana Kholi,IND,24,Vijay Vihar (W),27,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.07,
Raj Rani,JMM,24,Vijay Vihar (W),20,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.05,
Bimla,IND,24,Vijay Vihar (W),18,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.05,
Anita,BJP,25,Pooth Kalan (SCW),8431,Winner,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,38799,16435,42.36,51.3,21.73,
Saroj Devi,INC,25,Pooth Kalan (SCW),4229,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,25.73,10.9,
Domti,BSP,25,Pooth Kalan (SCW),2725,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,16.58,7.02,
Rama Devi,JD(U),25,Pooth Kalan (SCW),477,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,2.9,1.23,
Mamta Devi,IND,25,Pooth Kalan (SCW),331,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,2.01,0.85,
Suman,IND,25,Pooth Kalan (SCW),242,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,1.47,0.62,
Shantosh Kumar Bharti,BJP,26,Sahibabad Dault Pur (SC),6029,Winner,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,47646,18612,39.06,32.39,12.65,
Satish Kumar,BSP,26,Sahibabad Dault Pur (SC),5173,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,27.79,10.86,
Sardha Nand,INC,26,Sahibabad Dault Pur (SC),4779,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,25.68,10.03,
Jai Bhagwan,IND,26,Sahibabad Dault Pur (SC),1570,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,8.44,3.3,
Dharam Pal,LJP,26,Sahibabad Dault Pur (SC),337,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.81,0.71,
Ramesh,IND,26,Sahibabad Dault Pur (SC),323,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.74,0.68,
Ran Vijay,INLD,26,Sahibabad Dault Pur (SC),207,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.11,0.43,
Dharshan lal,IND,26,Sahibabad Dault Pur (SC),194,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.04,0.41,
Jai Bhagwan,BJP,27,Begumpur (G),10368,Winner,,,,,,,,,,,,,,,,,,,,,,40520,22414,55.32,46.26,25.59,
Sanjay,INC,27,Begumpur (G),8388,Lost,,,,,,,,,,,,,,,,,,,,,,,,,37.42,20.7,
Gulab Singh,BSP,27,Begumpur (G),1646,Lost,,,,,,,,,,,,,,,,,,,,,,,,,7.34,4.06,
Mahabir,INLD,27,Begumpur (G),1193,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.32,2.94,
Jagdish Parsad,RJD,27,Begumpur (G),323,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.44,0.8,
Ram Prakash,IND,27,Begumpur (G),260,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.16,0.64,
Veena,AIFB,27,Begumpur (G),100,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.25,
Hari Mohan,IND,27,Begumpur (G),98,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.24,
Naresh Kumar,IND,27,Begumpur (G),38,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.09,
Narayan  Singh,IND,28,Bawana (G),8506,Winner,,,,,,,,,,,,,,,,,,,,,,55448,30188,54.44,28.18,15.34,
Katar Singh,INC,28,Bawana (G),7732,Lost,,,,,,,,,,,,,,,,,,,,,,,,,25.61,13.94,
Ram Nivas,BJP,28,Bawana (G),6621,Lost,,,,,,,,,,,,,,,,,,,,,,,,,21.93,11.94,
Deepak,IND,28,Bawana (G),1876,Lost,,,,,,,,,,,,,,,,,,,,,,,,,6.21,3.38,
Rohtash,INLD,28,Bawana (G),1743,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.77,3.14,
Kuldeep Singh,SS,28,Bawana (G),771,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.55,1.39,
Suresh Kumar,BSP,28,Bawana (G),728,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.41,1.31,
Mohd. Suleman,CPI,28,Bawana (G),503,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.67,0.91,
Mukesh,IND,28,Bawana (G),377,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.25,0.68,
Anwar Ali,NCP,28,Bawana (G),364,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.21,0.66,
Kalmullah,LJP,28,Bawana (G),337,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.12,0.61,
Suranjan  Dass,IND,28,Bawana (G),223,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.4,
Anil Kumar,JD(U),28,Bawana (G),191,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.34,
Jai Narayan Mahto,IND,28,Bawana (G),137,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.25,
Rukshana,IND,28,Bawana (G),79,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.14,
Manjeet,BJP,29,Karala (W),9423,Winner,Women,,,,,,,,,,,,,,,,,,,,,40626,19463,47.91,48.41,23.19,Harnidh
Nirmla,INC,29,Karala (W),4392,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,22.57,10.81,
Sheela Devi,INLD,29,Karala (W),3673,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,18.87,9.04,
Gunjan,IND,29,Karala (W),807,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,4.15,1.99,
Raj Rani,IND,29,Karala (W),764,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,3.93,1.88,
Vishali Singh,RJD,29,Karala (W),316,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.62,0.78,
Vijay Laxmi,IND,29,Karala (W),88,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.22,
Azad Singh,BJP,30,Mundaka (G),9899,Winner,,,,,,,,,,,,,,,,,,,,,,34967,21540,61.6,45.96,28.31,
Sanjay,INC,30,Mundaka (G),6044,Lost,,,,,,,,,,,,,,,,,,,,,,,,,28.06,17.28,
Vijay,IND,30,Mundaka (G),2035,Lost,,,,,,,,,,,,,,,,,,,,,,,,,9.45,5.82,
Ranbir Singh,IND,30,Mundaka (G),1567,Lost,,,,,,,,,,,,,,,,,,,,,,,,,7.27,4.48,
Satya Narain,BSP,30,Mundaka (G),937,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.35,2.68,
Sanjay Kumar,INLD,30,Mundaka (G),430,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2,1.23,
Mahavir Bhardwaj,NCP,30,Mundaka (G),347,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.61,0.99,
Mahavir Singh,IND,30,Mundaka (G),281,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.3,0.8,
Mohan,BJP,31,Nangloi Jat West (SC),8376,Winner,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,34925,15468,44.29,54.15,23.98,
Raj Pal,INC,31,Nangloi Jat West (SC),6186,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,39.99,17.71,
Sanjay Kumar,BSP,31,Nangloi Jat West (SC),703,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,4.54,2.01,
Kamlesh,NCP,31,Nangloi Jat West (SC),203,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.31,0.58,
Chandi Ram,IND,32,Nilothi (G),3700,Winner,,,,,,,,,,,,,,,,,,,,,,41463,18262,44.04,20.26,8.92,
Balbinder Pal Sharma,BJP,32,Nilothi (G),2974,Lost,,,,,,,,,,,,,,,,,,,,,,,,,16.29,7.17,
Om Bir,IND,32,Nilothi (G),2921,Lost,,,,,,,,,,,,,,,,,,,,,,,,,15.99,7.04,
Raj Kumar,IND,32,Nilothi (G),2324,Lost,,,,,,,,,,,,,,,,,,,,,,,,,12.73,5.6,
Rajvir Singh,IND,32,Nilothi (G),2114,Lost,,,,,,,,,,,,,,,,,,,,,,,,,11.58,5.1,
Suresh Chander  Kaushik,IND,32,Nilothi (G),1736,Lost,,,,,,,,,,,,,,,,,,,,,,,,,9.51,4.19,
Bodh Raj Bhardwaj,BSP,32,Nilothi (G),841,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.61,2.03,
Rajbir,INC,32,Nilothi (G),798,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.37,1.92,
Surendar,INLD,32,Nilothi (G),337,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.85,0.81,
Dinesh,NCP,32,Nilothi (G),215,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.18,0.52,
Chhatar Bhuj Sharma,IND,32,Nilothi (G),107,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.26,
Poonam,IND,32,Nilothi (G),98,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.24,
Udham Singh,IND,32,Nilothi (G),97,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.23,
Satwanti,BSP,33,Pratap Vihar (W),3584,Winner,Women,,,,,,,,,,,,,,,,,,,,,38548,15267,39.61,23.48,9.3,Harnidh
Poonam Upadhaya,INC,33,Pratap Vihar (W),3223,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,21.11,8.36,
Urmila,BJP,33,Pratap Vihar (W),2947,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,19.3,7.65,
Roshini Devi,IND,33,Pratap Vihar (W),989,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,6.48,2.57,
Shanti,INLD,33,Pratap Vihar (W),897,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,5.88,2.33,
Shanti Devi,IND,33,Pratap Vihar (W),868,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,5.69,2.25,
Sunita Devi,IND,33,Pratap Vihar (W),694,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,4.55,1.8,
Khusbu,IND,33,Pratap Vihar (W),322,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,2.11,0.84,
Afsana Naaz,IND,33,Pratap Vihar (W),287,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.88,0.74,
Sudha Devi,IND,33,Pratap Vihar (W),286,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.87,0.74,
Nitu Singh,IND,33,Pratap Vihar (W),235,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.54,0.61,
Hasina Begam,JD(U),33,Pratap Vihar (W),211,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.38,0.55,
Bhagwati Devi,NCP,33,Pratap Vihar (W),200,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.31,0.52,
Sharda Devi,SP,33,Pratap Vihar (W),184,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.21,0.48,
Dharam Shila Devi,IND,33,Pratap Vihar (W),143,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.37,
Savita,IND,33,Pratap Vihar (W),142,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.93,0.37,
Asha Devi,IND,33,Pratap Vihar (W),55,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.14,
Rohtash  Singh,BJP,34,Nithari (G),1770,Winner,,,,,,,,,,,,,,,,,,,,,,24047,9560,39.76,18.51,7.36,Harnidh
Dharamveer Singh,INC,34,Nithari (G),1737,Lost,,,,,,,,,,,,,,,,,,,,,,,,,18.17,7.22,
RajPal,IND,34,Nithari (G),1629,Lost,,,,,,,,,,,,,,,,,,,,,,,,,17.04,6.77,
Shail Devi,IND,34,Nithari (G),814,Lost,,,,,,,,,,,,,,,,,,,,,,,,,8.51,3.39,
Md. Noorullaha,BSP,34,Nithari (G),786,Lost,,,,,,,,,,,,,,,,,,,,,,,,,8.22,3.27,
Sanjeev Kumar,INLD,34,Nithari (G),724,Lost,,,,,,,,,,,,,,,,,,,,,,,,,7.57,3.01,
Sanjeev Kumar,IND,34,Nithari (G),620,Lost,,,,,,,,,,,,,,,,,,,,,,,,,6.49,2.58,
Dharampal,IND,34,Nithari (G),387,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.05,1.61,
Mohd. Ekram,IND,34,Nithari (G),289,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.02,1.2,
Vidya Devi,IND,34,Nithari (G),145,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.52,0.6,
Mahabir,IND,34,Nithari (G),137,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.43,0.57,
Asha Devi,IND,34,Nithari (G),122,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.28,0.51,
Preet Pal,IND,34,Nithari (G),90,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.37,
Nazir Hussain,JD(U),34,Nithari (G),68,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.28,
Mohd. Motihulla,IND,34,Nithari (G),67,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.28,
Brijesh Kumar Dubey,IND,34,Nithari (G),52,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.22,
Sahadutt Ali,IND,34,Nithari (G),46,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.19,
Subash,IND,34,Nithari (G),39,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.16,
Ramu Prajapati,IND,34,Nithari (G),21,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.09,
O.P. Hooda,NCP,34,Nithari (G),17,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.07,
Satya Pal,BSP,35,Kirari Suleman Nagar (SC),5529,Winner,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,43641,16625,38.09,33.26,12.67,
Suraj pal,BJP,35,Kirari Suleman Nagar (SC),5373,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,32.32,12.31,
Kamal Jeet,INC,35,Kirari Suleman Nagar (SC),4335,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,26.08,9.93,
Naresh Kumar,IND,35,Kirari Suleman Nagar (SC),653,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,3.93,1.5,
Dharm Pal,IND,35,Kirari Suleman Nagar (SC),373,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,2.24,0.85,
Hoti Lal,IND,35,Kirari Suleman Nagar (SC),362,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,2.18,0.83,
Anil Kumar,INC,36,Prem Nagar (G),3975,Winner,,,,,,,,,,,,,,,,,,,,,,44022,18080,41.07,21.99,9.03,Harnidh
Pushp Raj,NCP,36,Prem Nagar (G),3702,Lost,,,,,,,,,,,,,,,,,,,,,,,,,20.48,8.41,
A.K.Mishra,BJP,36,Prem Nagar (G),2679,Lost,,,,,,,,,,,,,,,,,,,,,,,,,14.82,6.09,
Gulab Singh,BSP,36,Prem Nagar (G),1502,Lost,,,,,,,,,,,,,,,,,,,,,,,,,8.31,3.41,
Baldev Raj,RJD,36,Prem Nagar (G),1226,Lost,,,,,,,,,,,,,,,,,,,,,,,,,6.78,2.78,
Shiva Kant,IND,36,Prem Nagar (G),946,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.23,2.15,
Jai Prakash,INLD,36,Prem Nagar (G),792,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.38,1.8,
Arun  Kumar,IND,36,Prem Nagar (G),671,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.71,1.52,
Ram Pal Singh,IND,36,Prem Nagar (G),612,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.38,1.39,
Pramod Kumar,IND,36,Prem Nagar (G),445,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.46,1.01,
Jayant Dass Dr.,IND,36,Prem Nagar (G),239,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.32,0.54,
Anand Singh,LJP,36,Prem Nagar (G),175,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.4,
Manoj kumar,IND,36,Prem Nagar (G),162,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.37,
Salim  Sheikh,IND,36,Prem Nagar (G),149,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.34,
Naresh Kumar,AIFB,36,Prem Nagar (G),144,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.33,
Shamji Dubey,IND,36,Prem Nagar (G),135,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.31,
Ved Prakash,SP,36,Prem Nagar (G),101,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.23,
Rajbeer Singh,JD(U),36,Prem Nagar (G),91,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.21,
Naresh Chandra,IND,36,Prem Nagar (G),85,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.19,
Mahender Pal Bansal,IND,36,Prem Nagar (G),70,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.16,
Suresh Sharma,IND,36,Prem Nagar (G),63,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.14,
Umesh Chand,IND,36,Prem Nagar (G),59,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.13,
Sharvan Singh,IND,36,Prem Nagar (G),57,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.13,
Sushila,BJP,37,Sultanpuri East (SCW),7819,Winner,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,34078,18254,53.57,42.83,22.94,
Jyoti,INC,37,Sultanpuri East (SCW),5595,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,30.65,16.42,
Mina,BSP,37,Sultanpuri East (SCW),3744,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,20.51,10.99,
Sushma Singh,INLD,37,Sultanpuri East (SCW),567,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,3.11,1.66,
Geeta Devi,LJP,37,Sultanpuri East (SCW),256,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,1.4,0.75,
Sushila,IND,37,Sultanpuri East (SCW),182,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,1,0.53,
Geeta,IND,37,Sultanpuri East (SCW),91,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.27,
Raju,BSP,38,Mangol Puri North (SC),5952,Winner,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,32541,15376,47.25,38.71,18.29,
Murari Lal,INC,38,Mangol Puri North (SC),4841,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,31.48,14.88,
Subhash Singh,BJP,38,Mangol Puri North (SC),2297,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,14.94,7.06,
Piare Lal,IND,38,Mangol Puri North (SC),686,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,4.46,2.11,
Vinod Kumar,IND,38,Mangol Puri North (SC),649,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,4.22,1.99,
Arun Kumar,CPI-M,38,Mangol Puri North (SC),465,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,3.02,1.43,
Monu,IND,38,Mangol Puri North (SC),354,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,2.3,1.09,
Sat Pal,SP,38,Mangol Puri North (SC),132,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.41,
Nafisa Khatoon,INC,39,Sultanpur Majra (W),5947,Winner,Women,,,,,,,,,,,,,,,,,,,,,29735,14534,48.88,40.92,20,
Anar Kaur,BJP,39,Sultanpur Majra (W),3477,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,23.92,11.69,
Mishri Kaur,BSP,39,Sultanpur Majra (W),2832,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,19.49,9.52,
Nisha,LJP,39,Sultanpur Majra (W),509,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,3.5,1.71,
Asha,AIFB,39,Sultanpur Majra (W),473,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,3.25,1.59,
