Candidate,Constituency Name,Ward Number,Party,Valid Votes Polled,Election Outcome,Total Valid Votes,Total Voters,Direction,Reservation Status,Real Assets,Real Liabilities,Asset Error,Age,Marital Status,Dependents,Other Dependents,PAN ,Returns Filed,Spouse PAN,Spouse Returns Filed,Pending Criminal Cases(Affidavit),Convictions,Spouse Assets,Occupation,Spouse Occupation,Votes Polled(Old Data),EDUCATION
Subha Sharma,MAYUR VIHAR PHASE-II,11-E,INDEPENDENT,396,Lost,,,E,Women,7646400,0,,,,,,,,,,,,,,,,Post Graduate
Babita,MAYUR VIHAR PHASE-II,11-E,BAHUJAN SAMAJ PARTY,488,Lost,,,E,Women,13167369,3699900,,,,,,,,,,,,,,,,Post Graduate
Gurpreet Kaur,MAYUR VIHAR PHASE-II,11-E,AAM AADMI PARTY,7627,Lost,,,E,Women,33279171,17000,,,,,,,,,,,,,,,7627,12th Pass
Suman,MAYUR VIHAR PHASE-II,11-E,INDIAN NATIONAL CONGRESS,5140,Lost,,,E,Women,133457933,0,,,,,,,,,,,,,,,,8th Pass
NOTA,MAYUR VIHAR PHASE-II,11-E,,230,,,,E,Women,,,,,,,,,,,,,,,,,,
Neha Rani,MUKUNDPUR,11-N,BAHUJAN SAMAJ PARTY,726,Lost,,,N,General,69400,0,,,,,,,,,,,,,,,,Graduate Professional
Prabhudayal,MUKUNDPUR,11-N,INDEPENDENT,211,Lost,,,N,General,73000,0,,,,,,,,,,,,,,,,12th Pass
Dilawar Singh,MUKUNDPUR,11-N,"LOK JAN
SHAKTI PARTY",194,Lost,,,N,General,90300,10000,,,,,,,,,,,,,,,,10th Pass
Ram Narain,BANKNER,5-N,AAM AADMI PARTY,6397,Winner,23899,41470,N,General,7622435,0,Correct,50,married,1,0,yes,yes,yes,no,0,0,6052221,business,housewife,6397,5th Pass
Akhilesh Rai,MUKUNDPUR,11-N,JANATA DAL (UNITED),148,Lost,,,N,General,910300,100000,,,,,,,,,,,,,,,,10th Pass
Inder Singh,MUKUNDPUR,11-N,BHARATIYA JANATA PARTY,6098,Lost,,,N,General,1195631,0,,,,,,,,,,,,,,,6098,12th Pass
Bhudev,MUKUNDPUR,11-N,"RASHTRIYA
LOK DAL",1243,Lost,,,N,General,1617921,0,,,,,,,,,,,,,,,,Illiterate
Vikram Ujjainwal,MUKUNDPUR,11-N,"JAMMU & KASHMIR NATIONAL PANTHERS
PARTY",607,Lost,,,N,General,3109941,400000,,,,,,,,,,,,,,,,Graduate
Ravi Sharma,MUKUNDPUR,11-N,INDEPENDENT,63,Lost,,,N,General,8129000,0,,,,,,,,,,,,,,,,10th Pass
Devender Kumar,MUKUNDPUR,11-N,INDIAN NATIONAL CONGRESS,2401,Lost,,,N,General,14979179,0,,,,,,,,,,,,,,,,8th Pass
Rajkumar Gupta,MUKUNDPUR,11-N,INDEPENDENT,595,Lost,,,N,General,16480288,0,,,,,,,,,,,,,,,,8th Pass
Vijender Singh,MUKUNDPUR,11-N,INDEPENDENT,800,Lost,,,N,General,53577771,0,,,,,,,,,,,,,,,,Illiterate
NOTA,MUKUNDPUR,11-N,,166,,,,N,General,,,,,,,,,,,,,,,,,,
Amarjit Singh,PRATAP NAGAR,11-S,BHARATIYA JANATA PARTY,16,Lost,,,S,General,76107,0,,,,,,,,,,,,,,,,12th Pass
Joginder Singh Anand,PRATAP NAGAR,11-S,INDEPENDENT,82,Lost,,,S,General,356000,65000,,,,,,,,,,,,,,,,12th Pass
Poonam Solanki,BAPRAULA,24-S,AAM AADMI PARTY,7682,Winner,27325,48918,S,Women,,,,35,Married,not available,not available,not available,not available,not available,not available,0,0,,,,7682,not Given
Manoj Choudhary,PRATAP NAGAR,11-S,INDEPENDENT,1800,Lost,,,S,General,2180000,0,,,,,,,,,,,,,,,,Graduate
Kamal Nain,PRATAP NAGAR,11-S,INDEPENDENT,75,Lost,,,S,General,7054912,3000000,,,,,,,,,,,,,,,,Graduate
Himanshu Pahuja,PRATAP NAGAR,11-S,INDIAN NATIONAL CONGRESS,4644,Lost,,,S,General,7311272,0,,,,,,,,,,,,,,,,12th Pass
Inderjeet Singh Sehgal,PRATAP NAGAR,11-S,AAM AADMI PARTY,8867,Lost,,,S,General,13279433,1231100,,,,,,,,,,,,,,,8867,8th Pass
Harvinder Singh,PRATAP NAGAR,11-S,INDEPENDENT,62,Lost,,,S,General,14523400,300000,,,,,,,,,,,,,,,,Others
Harjeet Kaur,PRATAP NAGAR,11-S,JANATA DAL (UNITED),108,Lost,,,S,General,16034300,513600,,,,,,,,,,,,,,,,Graduate
NOTA,PRATAP NAGAR,11-S,,269,,,,S,General,,,,,,,,,,,,,,,,,,
Manish Kumar,PATPAR GANJ,12-E,INDEPENDENT,93,Lost,,,E,General,11500,0,,,,,,,,,,,,,,,,10th Pass
Braham Parkash,BAWANA,30-N,BHARATIYA JANATA PARTY,8343,Winner,24153,43019,N,General,10202874,0,Correct,47,married,3,0,yes,yes,yes,yes,0,0,2139325,social worker,housewife,8343,12th Pass
Billu Bhati,PATPAR GANJ,12-E,INDIAN NATIONAL CONGRESS,3313,Lost,,,E,General,1995608,735100,,,,,,,,,,,,,,,,Illiterate
"VINOD KUMAR
GOYAL",PATPAR GANJ,12-E,AAM AADMI PARTY,6722,Lost,,,E,General,2141784,0,,,,,,,,,,,,,,,6722,Graduate Professional
"PRAMOD
KUMAR",PATPAR GANJ,12-E,BAHUJAN SAMAJ PARTY,1164,Lost,,,E,General,2149782,1153300,,,,,,,,,,,,,,,,10th Pass
Dinesh Sharma,PATPAR GANJ,12-E,JANATA DAL (UNITED),427,Lost,,,E,General,6196441,120000,,,,,,,,,,,,,,,,12th Pass
"MANVINDRA
CHAUHAN",PATPAR GANJ,12-E,INDEPENDENT,493,Lost,,,E,General,9811402,0,,,,,,,,,,,,,,,,Graduate Professional
Sandhya Verma,PATPAR GANJ,12-E,INDEPENDENT,1898,Lost,,,E,General,21407925,400000,,,,,,,,,,,,,,,,12th Pass
NOTA,PATPAR GANJ,12-E,,189,,,,E,General,,,,,,,,,,,,,,,,,,
Megha,TIMARPUR,12-N,INDEPENDENT,447,Lost,,,N,Women,38835,0,,,,,,,,,,,,,,,,12th Pass
Mona Bhagat,TIMARPUR,12-N,INDEPENDENT,218,Lost,,,N,Women,46000,50000,,,,,,,,,,,,,,,,5th Pass
Seema Tahira,BAZAR SITA RAM,87-N,INDIAN NATIONAL CONGRESS,8304,Winner,21107,37266,N,Women,18132273,0,Correct,47,married,nil,nil,yes,yes,yes,yes,0,0,14635230,self-Employed,business,8304,10th Pass
Mira Devi,TIMARPUR,12-N,JANATA DAL (UNITED),416,Lost,,,N,Women,1443000,100000,,,,,,,,,,,,,,,,5th Pass
Mamta Devi,TIMARPUR,12-N,INDEPENDENT,110,Lost,,,N,Women,1741855,0,,,,,,,,,,,,,,,,12th Pass
Promila Gupta,TIMARPUR,12-N,AAM AADMI PARTY,5893,Lost,,,N,Women,6147648,212000,,,,,,,,,,,,,,,,Graduate
Prem Lata,TIMARPUR,12-N,INDEPENDENT,56,Lost,,,N,Women,6336000,0,,,,,,,,,,,,,,,,5th Pass
Shaista,TIMARPUR,12-N,"COMMUNIST PARTY OF
INDIA",497,Lost,,,N,Women,12849745,38800,,,,,,,,,,,,,,,,5th Pass
Gita Devi,TIMARPUR,12-N,BAHUJAN SAMAJ PARTY,1578,Lost,,,N,Women,15663336,0,,,,,,,,,,,,,,,,12th Pass
Kalpana Kumari,TIMARPUR,12-N,BHARATIYA JANATA PARTY,6968,Lost,,,N,Women,18032963,250000,,,,,,,,,,,,,,,6968,Graduate Professional
Savita Tyagi,TIMARPUR,12-N,INDEPENDENT,2224,Lost,,,N,Women,409504408,3200000,,,,,,,,,,,,,,,,Literate
NOTA,TIMARPUR,12-N,,175,,,,N,Women,,,,,,,,,,,,,,,,,,
Reena Devi,BEGUMPUR,33-N,AAM AADMI PARTY,10235,Winner,24366,42022,N,Women,5490165,308914,Error -Fixed,34,married,2,0,yes,yes,yes,yes,0,0,5350815,business,social worker,10235,12th Pass
Chhamiya Bai,KESHOPUR,12-S,INDEPENDENT,93,Lost,,,S,Women,926557,0,,,,,,,,,,,,,,,,Literate
Kiran Sharma,KESHOPUR,12-S,INDEPENDENT,47,Lost,,,S,Women,2421059,0,,,,,,,,,,,,,,,,12th Pass
Narinder Pal Kaur,KESHOPUR,12-S,AAM AADMI PARTY,6308,Lost,,,S,Women,3086976,152900,,,,,,,,,,,,,,,,12th Pass
Shilpa Kapoor,KESHOPUR,12-S,INDIAN NATIONAL CONGRESS,7878,Lost,,,S,Women,8652225,0,,,,,,,,,,,,,,,7878,Post Graduate
Reena,KESHOPUR,12-S,BAHUJAN SAMAJ PARTY,2435,Lost,,,S,Women,9029614,421257,,,,,,,,,,,,,,,,Illiterate
Komal Chauhan,KESHOPUR,12-S,INDEPENDENT,307,Lost,,,S,Women,24299840,0,,,,,,,,,,,,,,,,Post Graduate
NOTA,KESHOPUR,12-S,,202,,,,S,Women,,,,,,,,,,,,,,,,,,
"SHABNAM
AHMAD",KISHAN KUNJ,13-E,INDEPENDENT,43,Lost,,,E,Women,150000,0,,,,,,,,,,,,,,,,Not Given
Shabana,KISHAN KUNJ,13-E,INDEPENDENT,133,Lost,,,E,Women,619000,76761,,,,,,,,,,,,,,,,Graduate
Gurjeet Kaur,BHAJAN PURA,44-E,BHARATIYA JANATA PARTY,11596,Winner,27268,46615,E,Women,36369604,2525840,Correct,43,married,1,0,yes,yes,yes,yes,0,0,28854144,business,business,11596,Post Graduate
Tarnum,KISHAN KUNJ,13-E,INDEPENDENT,43,Lost,,,E,Women,2273376,0,,,,,,,,,,,,,,,,8th Pass
Monika Yadav,KISHAN KUNJ,13-E,INDEPENDENT,221,Lost,,,E,Women,2973772,19834,,,,,,,,,,,,,,,,5th Pass
Meenakshi Sharma,KISHAN KUNJ,13-E,AAM AADMI PARTY,4970,Lost,,,E,Women,4391523,577700,,,,,,,,,,,,,,,,Graduate
Shweta Nigam,KISHAN KUNJ,13-E,INDEPENDENT,2372,Lost,,,E,Women,4955021,0,,,,,,,,,,,,,,,,Graduate
"SHAHANA MASOOD
ABBASI",KISHAN KUNJ,13-E,INDIAN NATIONAL CONGRESS,6502,Lost,,,E,Women,22430688,300000,,,,,,,,,,,,,,,6502,12th Pass
"SUSHMA
BALUNI",KISHAN KUNJ,13-E,INDEPENDENT,1374,Lost,,,E,Women,51409841,0,,,,,,,,,,,,,,,,Graduate
NOTA,KISHAN KUNJ,13-E,,134,,,,E,Women,,,,,,,,,,,,,,,,,,
Surender Singh Khrub,BHALSWA,22-N,BHARATIYA JANATA PARTY,9386,Winner,21004,37097,N,General,9035360,0,Correct,52,married,2,0,yes,yes,yes,yes,1,1,1704936,business,business,9386,12th Pass
Madan Lal,MALKA GANJ,13-N,BHARATIYA JANATA PARTY,8450,Lost,,,N,SCW,15668671,2127760,,,,,,,,,,,,,,,8450,12th Pass
Inder Raj,MALKA GANJ,13-N,AAM AADMI PARTY,6904,Lost,,,N,SCW,396203,0,,,,,,,,,,,,,,,,Graduate
Veena Jatav,MALKA GANJ,13-N,BAHUJAN SAMAJ PARTY,2928,Lost,,,N,SCW,1451441,113700,,,,,,,,,,,,,,,,Graduate
NOTA,MALKA GANJ,13-N,,234,,,,N,SCW,,,,,,,,,,,,,,,,,,
Sumit Aujainwal,MALKA GANJ,13-N,INDEPENDENT,133,Lost,,,N,SCW,104452,0,,,,,,,,,,,,,,,,Post Graduate
Ajay Kumar,MALKA GANJ,13-N,"ALL INDIA FORWARD
BLOC",119,Lost,,,N,SCW,3304206,33000,,,,,,,,,,,,,,,,8th Pass
Roop Chand,MALKA GANJ,13-N,INDEPENDENT,113,Lost,,,N,SCW,1322716,0,,,,,,,,,,,,,,,,Post Graduate
Jagannath,MALKA GANJ,13-N,INDEPENDENT,101,Lost,,,N,SCW,50000,0,,,,,,,,,,,,,,,,5th Pass
Mahesh,BHATI,72-S,BHARATIYA JANATA PARTY,12001,Winner,30956,47792,S,Women,66168221,1349052,Correct,42,married,3,0,yes,no,yes,yes,0,0,65643221,housewife,social worker,12001,8th Pass
Ravinder Singh,TILAK NAGAR,13-S,BHARATIYA JANATA PARTY,9614,Lost,,,S,General,39102,0,,,,,,,,,,,,,,,9614,12th Pass
Ravinder Singh,TILAK NAGAR,13-S,BHARATIYA JANATA PARTY,31,Lost,,,S,General,39102,0,,,,,,,,,,,,,,,,Graduate
Ashok Kumar,TILAK NAGAR,13-S,INDIAN NATIONAL CONGRESS,4990,Lost,,,S,General,12985041,660560,,,,,,,,,,,,,,,,5th Pass
Ashok Sharma,TILAK NAGAR,13-S,INDEPENDENT,1304,Lost,,,S,General,5851904,0,,,,,,,,,,,,,,,,10th Pass
NOTA,TILAK NAGAR,13-S,,200,,,,S,General,,,,,,,,,,,,,,,,,,
Pratima Verma,TILAK NAGAR,13-S,INDEPENDENT,190,Lost,,,S,General,7058619,2379534,,,,,,,,,,,,,,,,10th Pass
Gurvinder Singh,TILAK NAGAR,13-S,INDEPENDENT,108,Lost,,,S,General,394917,30200,,,,,,,,,,,,,,,,8th Pass
Suraj Prakash Malhotra,TILAK NAGAR,13-S,INDEPENDENT,85,Lost,,,S,General,225573,34866,,,,,,,,,,,,,,,,10th Pass
Kanta Sanotra,TILAK NAGAR,13-S,INDEPENDENT,66,Lost,,,S,General,4060000,0,,,,,,,,,,,,,,,,8th Pass
Vijay Kumar Sharma,TILAK NAGAR,13-S,INDEPENDENT,54,Lost,,,S,General,2740000,356000,,,,,,,,,,,,,,,,5th Pass
Wazir Singh,TILAK NAGAR,13-S,INDEPENDENT,27,Lost,,,S,General,2310379,0,,,,,,,,,,,,,,,,8th Pass
"RAVINDER
KUMAR",LAKSHMI NAGAR,14-E,AAM AADMI PARTY,3826,Lost,,,E,General,750761,0,,,,,,,,,,,,,,,,Graduate
Narender Rana,BIJWASAN,48-S,AAM AADMI PARTY,7276,Winner,21578,36372,S,General,46898684,700000,Correct,37,married,2,0,yes,yes,yes,yes,2,2,1978805,business,social worker,7276,10th Pass
"KISHORE
RANA",LAKSHMI NAGAR,14-E,INDEPENDENT,663,Lost,,,E,General,1544518,0,,,,,,,,,,,,,,,,Post Graduate
Rajesh Pandey,LAKSHMI NAGAR,14-E,INDIAN NATIONAL CONGRESS,4404,Lost,,,E,General,1658746,0,,,,,,,,,,,,,,,4404,Graduate
Tarun Gaur,LAKSHMI NAGAR,14-E,INDEPENDENT,338,Lost,,,E,General,3222093,0,,,,,,,,,,,,,,,,Graduate Professional
Mahesh Jain,LAKSHMI NAGAR,14-E,INDEPENDENT,75,Lost,,,E,General,6428424,0,,,,,,,,,,,,,,,,Post Graduate
Usha Singh,LAKSHMI NAGAR,14-E,BAHUJAN SAMAJ PARTY,135,Lost,,,E,General,14645303,0,,,,,,,,,,,,,,,,Graduate
NOTA,LAKSHMI NAGAR,14-E,,156,,,,E,General,,,,,,,,,,,,,,,,,,
Rajiv Kumar,BINDAPUR,29-S,BHARATIYA JANATA PARTY,13269,Winner,30423,51051,S,General,106801839,9330000,Correct,43,Married,2,0,yes,Yes,Yes,Yes,0,0,,Farmer,Teacher,13269,10th Pass
Harsh Vardhan,G.T.B. NAGAR,14-N,INDEPENDENT,50,Lost,,,N,General,2076445,290000,,,,,,,,,,,,,,,,Post Graduate
Ranjit Kumar,G.T.B. NAGAR,14-N,BAHUJAN SAMAJ PARTY,172,Lost,,,N,General,3171734,0,,,,,,,,,,,,,,,,Post Graduate
Deepankur Sondhi,G.T.B. NAGAR,14-N,INDEPENDENT,63,Lost,,,N,General,4961217,0,,,,,,,,,,,,,,,,Graduate Professional
Anil Rudra,G.T.B. NAGAR,14-N,INDEPENDENT,188,Lost,,,N,General,11266007,2300000,,,,,,,,,,,,,,,,Others
Devender Singh,G.T.B. NAGAR,14-N,AAM AADMI PARTY,4139,Lost,,,N,General,21240115,160000,,,,,,,,,,,,,,,,Graduate
Mohit Kapoor,G.T.B. NAGAR,14-N,INDIAN NATIONAL CONGRESS,4878,Lost,,,N,General,104857361,21045148,,,,,,,,,,,,,,,4878,8th Pass
NOTA,G.T.B. NAGAR,14-N,,210,,,,N,General,,,,,,,,,,,,,,,,,,
Raj Kumar Ballan,BRAHAM PURI,47-E,BHARATIYA JANATA PARTY,14920,Winner,34272,59398,E,General,16920419,4253192,Correct,50,married,2,0,yes,yes,yes,yes,0,0,1310086,business,business,14920,Post Graduate
Manisha Maanu,MAHAVIR NAGAR,14-S,AAM AADMI PARTY,8409,Lost,,,S,Women,21274550,0,,,,,,,,,,,,,,,8409,Graduate
Anita Babbar,MAHAVIR NAGAR,14-S,INDIAN NATIONAL CONGRESS,2872,Lost,,,S,Women,99154717,51000,,,,,,,,,,,,,,,,Graduate Professional
NOTA,MAHAVIR NAGAR,14-S,,249,,,,S,Women,,,,,,,,,,,,,,,,,,
Prabhawati Singh,SHAKARPUR,15-E,INDEPENDENT,28,Lost,,,E,Women,660000,0,,,,,,,,,,,,,,,,10th Pass
Gayatri Garg,BUDH VIHAR,27-N,BHARATIYA JANATA PARTY,9770,Winner,22150,40826,N,Women,45807500,0,Correct,42,married,2,0,yes,yes,yes,yes,0,0,20427500,housewife,business,9770,12th Pass
"NEELAM
KUMARI",SHAKARPUR,15-E,JANATA DAL (UNITED),98,Lost,,,E,Women,2831056,385000,,,,,,,,,,,,,,,,Post Graduate
"POONAM
SHARMA",SHAKARPUR,15-E,INDEPENDENT,103,Lost,,,E,Women,4807632,0,,,,,,,,,,,,,,,,Graduate
Mamta Pal,SHAKARPUR,15-E,BAHUJAN SAMAJ PARTY,449,Lost,,,E,Women,10202778,225000,,,,,,,,,,,,,,,,8th Pass
Rekha Sharma,SHAKARPUR,15-E,INDIAN NATIONAL CONGRESS,6608,Lost,,,E,Women,14997521,1556731,,,,,,,,,,,,,,,,Post Graduate
Indu Gosain,SHAKARPUR,15-E,AAM AADMI PARTY,6974,Lost,,,E,Women,15260661,4038101,,,,,,,,,,,,,,,6974,Graduate Professional
Pooja,SHAKARPUR,15-E,INDEPENDENT,152,Lost,,,E,Women,19919907,744474,,,,,,,,,,,,,,,,8th Pass
NOTA,SHAKARPUR,15-E,,183,,,,E,Women,,,,,,,,,,,,,,,,,,
Neetu Devi,MUKHERJEE NAGAR,15-N,INDEPENDENT,52,Lost,,,N,Women,191607,0,,,,,,,,,,,,,,,,5th Pass
Akansha Raj,MUKHERJEE NAGAR,15-N,INDEPENDENT,63,Lost,,,N,Women,300000,0,,,,,,,,,,,,,,,,12th Pass
Dinesh,MUKHERJEE NAGAR,15-N,INDEPENDENT,395,Lost,,,N,Women,818955,0,,,,,,,,,,,,,,,,Post Graduate
Anil Kumar Tyagi,BURARI,7-N,BHARATIYA JANATA PARTY,11194,Winner,27990,48005,N,General,47156084,230000,Correct,50,married,2,0,yes,yes,no,no,0,0,10571100,,,11194,Graduate
Kanta,MUKHERJEE NAGAR,15-N,INDEPENDENT,30,Lost,,,N,Women,1074000,0,,,,,,,,,,,,,,,,8th Pass
Savitri Devi,MUKHERJEE NAGAR,15-N,BAHUJAN SAMAJ PARTY,206,Lost,,,N,Women,1590000,0,,,,,,,,,,,,,,,,Literate
Seema Yadav,MUKHERJEE NAGAR,15-N,SHIV SENA,35,Lost,,,N,Women,7070000,1200000,,,,,,,,,,,,,,,,Graduate
Sukhrita,MUKHERJEE NAGAR,15-N,AAM AADMI PARTY,3826,Lost,,,N,Women,188980430,25498725,,,,,,,,,,,,,,,,Graduate
Kirti Bhadana,MUKHERJEE NAGAR,15-N,INDIAN NATIONAL CONGRESS,7100,Lost,,,N,Women,,0,,,,,,,,,,,,,,,7100,
NOTA,MUKHERJEE NAGAR,15-N,,195,,,,N,Women,,,,,,,,,,,,,,,,,,
Suresh Kumar,JANAKPURI WEST,15-S,INDIAN NATIONAL CONGRESS,5093,Lost,,,S,General,105125,0,,,,,,,,,,,,,,,,Others
Ravinder Kumar,CHANDNI CHOWK,84-N,BHARATIYA JANATA PARTY,8774,Winner,18969,37755,N,General,1472905,0,Error -Fixed,55,married,na,na,yes,no,no,no,0,0,942865,self-Employed,housewife,8774,12th Pass
Sanjey Puri,JANAKPURI WEST,15-S,AAM AADMI PARTY,6730,Lost,,,S,General,26891101,0,,,,,,,,,,,,,,,6730,Graduate
Inderjeet Singh Rana,JANAKPURI WEST,15-S,INDEPENDENT,230,Lost,,,S,General,46450540,600000,,,,,,,,,,,,,,,,Graduate
NOTA,JANAKPURI WEST,15-S,,190,,,,S,General,,,,,,,,,,,,,,,,,,
"LAL BABU
LALIT",PANDAV NAGAR,16-E,JANATA DAL (UNITED),107,Lost,,,E,General,326850,0,,,,,,,,,,,,,,,,Post Graduate
Ritesh Raj,PANDAV NAGAR,16-E,INDEPENDENT,54,Lost,,,E,General,1606877,0,,,,,,,,,,,,,,,,Graduate
"ABDUL
REHMAN",CHAUHAN BANGER,41-E,AAM AADMI PARTY,8830,Winner,19232,32241,E,General,6554214,0,Correct,51,married,5,0,yes,yes,yes,yes,3,1,2432315,business,social worker,8830,8th Pass
"PARVINDER
MISHRA",PANDAV NAGAR,16-E,INDEPENDENT,592,Lost,,,E,General,6430697,0,,,,,,,,,,,,,,,,Post Graduate
"RAJENDER
PRATAP SINGH",PANDAV NAGAR,16-E,AAM AADMI PARTY,6475,Lost,,,E,General,13627492,732748,,,,,,,,,,,,,,,,Post Graduate
"AJAY KUMAR
JAIN",PANDAV NAGAR,16-E,INDEPENDENT,2762,Lost,,,E,General,30013815,1692000,,,,,,,,,,,,,,,,Others
"SAVITRI
SHARMA",PANDAV NAGAR,16-E,INDEPENDENT,210,Lost,,,E,General,31256349,1015000,,,,,,,,,,,,,,,,Illiterate
Sharanjeet Sharma,PANDAV NAGAR,16-E,INDIAN NATIONAL CONGRESS,7755,Lost,,,E,General,151315778,23796872,,,,,,,,,,,,,,,7755,12th Pass
NOTA,PANDAV NAGAR,16-E,,183,,,,E,General,,,,,,,,,,,,,,,,,,
Dal Chand,SARAI PIPAL THALA,16-N,,,Lost,,,N,General,250000,0,,,,,,,,,,,,,,,,Not Given
Nurul Amins,SARAI PIPAL THALA,16-N,,,Lost,,,N,General,255914,0,,,,,,,,,,,,,,,,8th Pass
Mukesh Goel,SARAI PIPAL THALA,16-N - Bye Election,,,,,52593,N,General,28189600,1045452,,56,Married,0,0,yes,yes,yes,yes,0,0,18116213,business,housewife,,Graduate
Mohd. Sarif,SARAI PIPAL THALA,16-N,,,Lost,,,N,General,1991092,0,,,,,,,,,,,,,,,,8th Pass
Bindu,SARAI PIPAL THALA,16-N,,,Lost,,,N,General,3469000,40000,,,,,,,,,,,,,,,,5th Pass
Vijay Kumar Aggarwal,SARAI PIPAL THALA,16-N,,,Lost,,,N,General,12518420,325000,,,,,,,,,,,,,,,,Graduate
NOTA,SARAI PIPAL THALA,16-N,,,,,,N,General,,,,,,,,,,,,,,,,,,
Sunita Sahi,JANAKPURI SOUTH,16-S,INDEPENDENT,94,Lost,,,S,Women,203250,0,,,,,,,,,,,,,,,,Graduate
Anita Tanwar,CHHATARPUR,70-S,BHARATIYA JANATA PARTY,8415,Winner,26455,48797,S,Women,43335435,9075000,Correct,38,married,3,0,yes,yes,yes,yes,0,0,42664982,self-employed,self-employed,8415,10th Pass
Nattasha Sharma,JANAKPURI SOUTH,16-S,INDIAN NATIONAL CONGRESS,1293,Lost,,,S,Women,3245015,525050,,,,,,,,,,,,,,,,12th Pass
Aruna Sharma,JANAKPURI SOUTH,16-S,AAM AADMI PARTY,3777,Lost,,,S,Women,13291509,742531,,,,,,,,,,,,,,,3777,Graduate
NOTA,JANAKPURI SOUTH,16-S,,222,,,,S,Women,,,,,,,,,,,,,,,,,,
Kunti,VISHWAS NAGAR,17-E,AAM AADMI PARTY,4399,Lost,,,E,SCW,595859,0,,,,,,,,,,,,,,,,Graduate
Neelam,VISHWAS NAGAR,17-E,INDEPENDENT,211,Lost,,,E,SCW,876219,0,,,,,,,,,,,,,,,,Illiterate
Preeti,VISHWAS NAGAR,17-E,INDEPENDENT,77,Lost,,,E,SCW,1472227,240000,,,,,,,,,,,,,,,,Graduate
Pawan Sharma,CHHAWLA,39-S,BHARATIYA JANATA PARTY,9890,Winner,28200,45434,S,General,37303000,0,Correct,41,Married,2,0,yes,yes,yes,yes,0,0,,Business,Business,9890,12th Pass
Versha,VISHWAS NAGAR,17-E,INDIAN NATIONAL CONGRESS,8332,Lost,,,E,SCW,2997980,0,,,,,,,,,,,,,,,8332,Graduate Professional
Poonam Devi,VISHWAS NAGAR,17-E,BAHUJAN SAMAJ PARTY,1832,Lost,,,E,SCW,11366395,0,,,,,,,,,,,,,,,,Illiterate
NOTA,VISHWAS NAGAR,17-E,,189,,,,E,SCW,,,,,,,,,,,,,,,,,,
Rita,ADARSH NAGAR,17-N,INDEPENDENT,146,Lost,,,N,Women,149000,0,,,,,,,,,,,,,,,,8th Pass
Shashi,ADARSH NAGAR,17-N,INDEPENDENT,296,Lost,,,N,Women,280000,0,,,,,,,,,,,,,,,,Graduate
Pooja,CHIRAG DELHI,88-S,AAM AADMI PARTY,9755,Winner,27203,54816,S,Women,1888218,0,Correct,31,married,2,0,no,no,yes,no,0,,1689218,housewife,social worker,9755,Illiterate
Pammi Devi,ADARSH NAGAR,17-N,INDEPENDENT,151,Lost,,,N,Women,1580000,530000,,,,,,,,,,,,,,,,Illiterate
Sapna,ADARSH NAGAR,17-N,INDEPENDENT,183,Lost,,,N,Women,1851558,0,,,,,,,,,,,,,,,,10th Pass
Anshul Gupta,ADARSH NAGAR,17-N,INDIAN NATIONAL CONGRESS,6123,Lost,,,N,Women,1932500,136014,,,,,,,,,,,,,,,,Post Graduate
Veena Kumar,ADARSH NAGAR,17-N,INDEPENDENT,456,Lost,,,N,Women,2727500,0,,,,,,,,,,,,,,,,Graduate
Sunita,ADARSH NAGAR,17-N,BAHUJAN SAMAJ PARTY,2435,Lost,,,N,Women,3545200,400000,,,,,,,,,,,,,,,,5th Pass
Meena Bhardwaj,ADARSH NAGAR,17-N,INDEPENDENT,115,Lost,,,N,Women,5078152,0,,,,,,,,,,,,,,,,10th Pass
Meena Verma,ADARSH NAGAR,17-N,AAM AADMI PARTY,7103,Lost,,,N,Women,10973752,0,,,,,,,,,,,,,,,7103,Graduate Professional
Sunita Gill,ADARSH NAGAR,17-N,"NATIONALIST CONGRESS
PARTY",73,Lost,,,N,Women,,0,,,,,,,,,,,,,,,,10th Pass
NOTA,ADARSH NAGAR,17-N,,175,,,,N,Women,,,,,,,,,,,,,,,,,,
Subhash Bhadana,CHITARANJAN PARK,87-S,BHARATIYA JANATA PARTY,11495,Winner,25450,52311,S,General,4459919,0,Correct,46,married,1,0,yes,yes,yes,no,0,0,4260746,business,housewife,11495,12th Pass
Sandeep Jain,SITAPURI,17-S,BHARATIYA JANATA PARTY,12148,Lost,,,S,General,1609000,0,,,,,,,,,,,,,,,12148,8th Pass
Vimla Devi,SITAPURI,17-S,INDIAN NATIONAL CONGRESS,4009,Lost,,,S,General,242486081,383000,,,,,,,,,,,,,,,,5th Pass
Hari Lal Prasad,SITAPURI,17-S,"COMMUNIST PARTY OF
INDIA (MARXIST)",801,Lost,,,S,General,3683298,0,,,,,,,,,,,,,,,,12th Pass
Sanjay Poddar,SITAPURI,17-S,BAHUJAN SAMAJ PARTY,734,Lost,,,S,General,6024433,0,,,,,,,,,,,,,,,,Post Graduate
Surinder Kapur,SITAPURI,17-S,INDEPENDENT,410,Lost,,,S,General,3096000,360000,,,,,,,,,,,,,,,,10th Pass
Dev Dutt Sharma,SITAPURI,17-S,"COMMUNIST PARTY OF
INDIA",222,Lost,,,S,General,2361785,250500,,,,,,,,,,,,,,,,Post Graduate
